numSamples	Sample	pca1	pca2	longitude	latitude	pca1_norm
31	Er35_209	-41.454016	-0.24659	18.37	49.85	0.00542972311124637
31	Er60_GR5	-41.397985	0.110584	19.9	39.47	0.00594861812334114
31	Er47_CR4	-41.383663	0.128044	17.59	42.87	0.00608125210030426
31	Er70_RMN42	-41.369458	-0.160265	24.74	46.83	0.00621280255713715
31	Er43_SL7	-41.279869	0.015023	14.32	46.27	0.00704247336862644
31	Er48_BH16	-41.217927	0.068664	17.39	43.46	0.00761610929943561
31	Er66_IT3	-40.984251	-0.159862	11.12	46.22	0.00978014904254653
31	Er45_BLG3	-40.94778	0.048192	24.7	43.23	0.0101179017149262
31	Er28_112	-40.780765	-0.348411	14.42	50.12	0.0116646035486433
31	Er50_R3	-38.835697	-0.688095	39.15	53.02	0.0296775978443913
31	Er55_AU7	-36.807434	-0.032183	16.37	48.21	0.0484610490395562
31	Er37_SK27	-15.24335	-4.326369	18.86	48.88	0.248162921717032
31	Er74_SP16	57.710483	30.968249	2.26	41.67	0.923777850183265
31	Er56_AZ5	59.919497	32.407408	-25.68	37.74	0.944235210327603
31	Er30_79	60.013194	28.895758	-1.59	54.77	0.945102924734774
31	Er63_IR6	61.134171	28.971788	-9.53	52.17	0.955484131102194
31	Er71_SAR2	62.71009	-12.395752	9.19	40.31	0.970078489735189
31	Er29_122	63.049328	-15.038833	14.42	50.12	0.9732201239397
31	Er52_451	63.895209	-13.075214	8.39	49.02	0.981053705916208
31	Er31_453	64.283419	-9.314218	9.98	53.55	0.984648862751626
31	Er33_211	65.030499	-15.046887	18.12	50.18	0.991567462912889
31	Er34_197	65.129964	-16.36179	13.6	49.6	0.992488593936394
31	Er54_AU1	65.290156	-17.528404	14.43	48.02	0.993972108950894
31	Er51_436	65.941056	-15.857188	11.58	48.14	1
32	Er69_R2	-34.334407	-0.171781	34.1	44.95	0
32	Er44_VOJ1	-34.313121	-0.003286	21.43	44.9	0.000251930944882908
32	Er32_183	-34.241773	-0.286202	13.4	50.45	0.00109637184761282
32	Er40_M2	-34.204722	-0.211695	21.15	47.58	0.00153488981429794
32	Er43_SL7	-33.969668	0.029034	14.32	46.27	0.00431687686299271
32	Er39_PL1	-33.967634	-0.278875	22.46	54.05	0.00434095031699498
32	Er42_GR35	-33.967101	0.161935	24.5	35.33	0.00434725865081166
32	Er47_CR4	-33.936091	0.093968	17.59	42.87	0.0047142782223996
32	Er41_GR36	-33.881347	0.130432	24.48	35.27	0.00536220209943954
32	Er35_209	-33.87231	-0.235337	18.37	49.85	0.0054691597217691
32	Er70_RMN42	-33.871417	0.013461	24.74	46.83	0.00547972884390477
32	Er60_GR5	-33.861472	0.164694	19.9	39.47	0.00559743312121669
32	Er48_BH16	-33.830044	0.04146	17.39	43.46	0.00596939994146385
32	Er66_IT3	-33.694018	-0.14678	11.12	46.22	0.00757933880779141
32	Er45_BLG3	-33.558312	0.008903	24.7	43.23	0.0091854903067243
32	Er28_112	-33.332504	-0.244658	14.42	50.12	0.0118580461087599
32	Er50_R3	-31.951744	-0.489227	39.15	53.02	0.0282000629957553
32	Er55_AU7	-30.067141	-0.123263	16.37	48.21	0.0505053253521982
32	Er37_SK27	-13.414213	-3.418732	18.86	48.88	0.247601439516802
32	Er74_SP16	43.888545	24.4505	2.26	41.67	0.925809555994256
32	Er72_SIE1B	44.002669	-0.788279	14.02	38.03	0.927160273233466
32	Er56_AZ5	45.730008	25.494043	-25.68	37.74	0.947604233883808
32	Er30_79	45.758211	22.544167	-1.59	54.77	0.947938031142031
32	Er63_IR6	46.632772	22.745651	-9.53	52.17	0.958288918067136
32	Er29_122	47.847209	-12.048264	14.42	50.12	0.972662415244192
32	Er71_SAR2	47.851786	-9.374965	9.19	40.31	0.972716586433458
32	Er52_451	48.537797	-10.417115	8.39	49.02	0.980835885476496
32	Er31_453	48.986208	-6.824611	9.98	53.55	0.986143064229005
32	Er33_211	49.54582	-11.75442	18.12	50.18	0.992766364986678
32	Er34_197	49.558722	-12.975712	13.6	49.6	0.992919066905822
32	Er54_AU1	49.77229	-13.823676	14.43	48.02	0.995446755905012
32	Er51_436	50.157	-12.261368	11.58	48.14	1
33	Er69_R2	-25.13453	0.131557	34.1	44.95	0
33	Er44_VOJ1	-25.060864	0.056321	21.43	44.9	0.0011576800416329
33	Er46_RMN7	-24.966874	-0.008192	28.31	44.58	0.00263475694431623
33	Er32_183	-24.935843	0.163918	13.4	50.45	0.00312241705036124
33	Er40_M2	-24.901515	0.232422	21.15	47.58	0.00366189035513102
33	Er42_GR35	-24.831454	-0.178885	24.5	35.33	0.00476291689921973
33	Er39_PL1	-24.790675	0.111658	22.46	54.05	0.00540376931984453
33	Er43_SL7	-24.768875	0.011602	14.32	46.27	0.0057463618986135
33	Er70_RMN42	-24.741489	-0.1025	24.74	46.83	0.00617673989687807
33	Er47_CR4	-24.725563	-0.106932	17.59	42.87	0.00642702106245031
33	Er41_GR36	-24.677389	-0.066116	24.48	35.27	0.00718408780050614
33	Er35_209	-24.646326	0.136995	18.37	49.85	0.00767225079474019
33	Er60_GR5	-24.599621	-0.02583	19.9	39.47	0.00840623182186887
33	Er48_BH16	-24.594772	0.000124	17.39	43.46	0.00848243509776111
33	Er66_IT3	-24.551928	0.120739	11.12	46.22	0.0091557395218335
33	Er45_BLG3	-24.489834	0.023352	24.7	43.23	0.0101315626221125
33	Er28_112	-24.275599	0.13108	14.42	50.12	0.0134983204713131
33	Er50_R3	-23.294865	0.178624	39.15	53.02	0.0289108062578463
33	Er55_AU7	-21.836593	0.242948	16.37	48.21	0.0518279239196174
33	Er37_SK27	-9.387165	2.552234	18.86	48.88	0.247473870833326
33	Er74_SP16	33.829058	-18.517265	2.26	41.67	0.926627874605144
33	Er72_SIE1B	33.845675	0.709013	14.02	38.03	0.926889015012548
33	Er56_AZ5	35.287785	-19.588383	-25.68	37.74	0.949552142708353
33	Er30_79	35.394593	-16.765908	-1.59	54.77	0.95123065776125
33	Er63_IR6	35.796453	-16.895635	-9.53	52.17	0.957545990499971
33	Er29_122	36.739285	9.206753	14.42	50.12	0.972362836657123
33	Er71_SAR2	36.743874	7.102419	9.19	40.31	0.972434953966479
33	Er52_451	37.251898	7.898765	8.39	49.02	0.980418681133293
33	Er31_453	37.677048	5.294769	9.98	53.55	0.987100022182084
33	Er34_197	37.864515	9.707809	13.6	49.6	0.99004611406117
33	Er33_211	38.124035	8.778968	18.12	50.18	0.994124537274112
33	Er54_AU1	38.159649	10.566772	14.43	48.02	0.994684220397978
33	Er51_436	38.497905	8.896802	11.58	48.14	1
34	Er42_GR35	-16.959317	0.118981	24.5	35.33	0
34	Er41_GR36	-16.928086	-0.011684	24.48	35.27	0.000756856939449439
34	Er69_R2	-16.906884	-0.148548	34.1	44.95	0.00127066952406751
34	Er40_M2	-16.837966	-0.153027	21.15	47.58	0.00294083911687528
34	Er70_RMN42	-16.836872	0.095768	24.74	46.83	0.00296735128400919
34	Er44_VOJ1	-16.817761	-0.071313	21.43	44.9	0.00343049024753319
34	Er39_PL1	-16.765424	-0.117905	22.46	54.05	0.00469883329258358
34	Er43_SL7	-16.760847	-0.049484	14.32	46.27	0.0048097530265614
34	Er35_209	-16.757845	-0.074399	18.37	49.85	0.0048825039641627
34	Er46_RMN7	-16.729764	-0.002656	28.31	44.58	0.00556302331085929
34	Er32_183	-16.703679	-0.212912	13.4	50.45	0.00619517128132256
34	Er47_CR4	-16.675851	0.080605	17.59	42.87	0.00686955938644247
34	Er48_BH16	-16.671642	-0.054121	17.39	43.46	0.00697156095085427
34	Er60_GR5	-16.525264	0.008596	19.9	39.47	0.0105189083006905
34	Er45_BLG3	-16.498392	-0.033188	24.7	43.23	0.0111701285522638
34	Er28_112	-16.479955	-0.140553	14.42	50.12	0.0116169336943544
34	Er66_IT3	-16.437417	-0.109812	11.12	46.22	0.0126478062405521
34	Er50_R3	-15.615361	-0.12879	39.15	53.02	0.0325696399383551
34	Er55_AU7	-14.732761	-0.01209	16.37	48.21	0.0539587064030252
34	Er37_SK27	-6.707872	-1.546406	18.86	48.88	0.248435121758339
34	Er74_SP16	20.953645	12.50519	2.26	41.67	0.918788651813407
34	Er72_SIE1B	21.024376	0.407611	14.02	38.03	0.920502757931821
34	Er56_AZ5	22.022353	13.278315	-25.68	37.74	0.944687888662857
34	Er30_79	22.114644	11.378588	-1.59	54.77	0.946924483193891
34	Er63_IR6	22.371891	11.636412	-9.53	52.17	0.953158647232909
34	Er58_FI7	22.766661	-7.422539	24.94	60.17	0.96272556516658
34	Er71_SAR2	23.157047	-3.464298	9.19	40.31	0.972186240558464
34	Er29_122	23.161521	-5.771467	14.42	50.12	0.972294664174329
34	Er52_451	23.506799	-4.964685	8.39	49.02	0.980662185237992
34	Er31_453	23.746069	-3.027089	9.98	53.55	0.986460691846876
34	Er33_211	24.021475	-4.987161	18.12	50.18	0.993134923932497
34	Er34_197	24.042348	-5.873828	13.6	49.6	0.99364076347965
34	Er54_AU1	24.155376	-6.13631	14.43	48.02	0.996379901712563
34	Er51_436	24.304756	-4.995801	11.58	48.14	1
35	Er69_R2	-11.398747	-0.135922	34.1	44.95	0
35	Er42_GR35	-11.363589	-0.052958	24.5	35.33	0.00131578824259863
35	Er41_GR36	-11.313512	-0.133879	24.48	35.27	0.00318992009949066
35	Er70_RMN42	-11.267905	0.119369	24.74	46.83	0.00489676219460962
35	Er44_VOJ1	-11.22126	-0.004077	21.43	44.9	0.00664245144246256
35	Er40_M2	-11.162072	-0.108935	21.15	47.58	0.00885756249835096
35	Er46_RMN7	-11.156434	-0.076289	28.31	44.58	0.00906856466320021
35	Er32_183	-11.149612	-0.195086	13.4	50.45	0.00932387803116795
35	Er35_209	-11.143438	-0.037698	18.37	49.85	0.00955493999742892
35	Er43_SL7	-11.136646	-0.003223	14.32	46.27	0.00980913061531755
35	Er28_112	-11.125732	-0.070111	14.42	50.12	0.0102175870940627
35	Er39_PL1	-11.102944	-0.084325	22.46	54.05	0.0110704280540814
35	Er47_CR4	-11.016213	0.007192	17.59	42.87	0.0143163359575121
35	Er66_IT3	-10.985013	0.057225	11.12	46.22	0.0154839960396862
35	Er45_BLG3	-10.954041	-0.1185	24.7	43.23	0.0166431232212598
35	Er48_BH16	-10.931096	-0.048348	17.39	43.46	0.017501839906692
35	Er60_GR5	-10.81619	-0.024687	19.9	39.47	0.0218021972593296
35	Er50_R3	-10.507147	-0.046195	39.15	53.02	0.0333681323482823
35	Er55_AU7	-9.717893	-0.084673	16.37	48.21	0.0629059653770073
35	Er37_SK27	-4.933534	-0.828984	18.86	48.88	0.241960613552978
35	Er74_SP16	12.731678	8.122856	2.26	41.67	0.903081219179341
35	Er72_SIE1B	13.051374	0.203918	14.02	38.03	0.915045842821351
35	Er56_AZ5	13.553252	8.780505	-25.68	37.74	0.93382862829319
35	Er30_79	13.632565	7.484759	-1.59	54.77	0.936796917527083
35	Er63_IR6	13.834396	7.703835	-9.53	52.17	0.944350443233662
35	Er58_FI7	14.097729	-4.255125	24.94	60.17	0.954205681452225
35	Er57_COR4	14.193346	-2.13828	9.18	41.75	0.957784147929059
35	Er29_122	14.406587	-3.339383	14.42	50.12	0.96576469291569
35	Er71_SAR2	14.551352	-2.3194	9.19	40.31	0.97118252342197
35	Er52_451	14.852365	-2.934645	8.39	49.02	0.982447935739773
35	Er31_453	14.864228	-1.741334	9.98	53.55	0.982891908546018
35	Er33_211	15.050411	-3.353054	18.12	50.18	0.989859807811384
35	Er34_197	15.12907	-3.443793	13.6	49.6	0.992803621093555
35	Er54_AU1	15.133307	-3.717984	14.43	48.02	0.992962190829714
35	Er51_436	15.321358	-3.182772	11.58	48.14	1
36	Er44_VOJ1	-6.880058	0.05647	21.43	44.9	0
36	Er42_GR35	-6.879038	-0.014132	24.5	35.33	6.14394393253357e-05
36	Er41_GR36	-6.84457	0.130749	24.48	35.27	0.00213761061056708
36	Er70_RMN42	-6.820752	-0.147703	24.74	46.83	0.00357228175355872
36	Er35_209	-6.787794	0.016711	18.37	49.85	0.00555749846070111
36	Er32_183	-6.783993	0.252692	13.4	50.45	0.00578645072430475
36	Er69_R2	-6.774182	0.138451	34.1	44.95	0.00637741380197251
36	Er46_RMN7	-6.745832	0.115231	28.31	44.58	0.00808506880675091
36	Er40_M2	-6.728057	0.092173	21.15	47.58	0.00915574138911201
36	Er66_IT3	-6.691776	-0.0131	11.12	46.22	0.0113411181520173
36	Er60_GR5	-6.689087	0.005711	19.9	39.47	0.0115030893798074
36	Er43_SL7	-6.663684	0.0026	14.32	46.27	0.0130332325927311
36	Er39_PL1	-6.647046	0.088939	22.46	54.05	0.0140354182706677
36	Er45_BLG3	-6.63194	0.035131	24.7	43.23	0.0149453243201274
36	Er47_CR4	-6.529152	-0.09232	17.59	42.87	0.0211367332312796
36	Er28_112	-6.524991	-0.016684	14.42	50.12	0.0213873700028804
36	Er48_BH16	-6.479426	-0.136169	17.39	43.46	0.0241319661331354
36	Er36_SK24	-6.337674	0.012689	21.27	48.75	0.0326703616265164
36	Er50_R3	-6.30635	-0.06307	39.15	53.02	0.0345571547612493
36	Er55_AU7	-5.947588	-0.042487	16.37	48.21	0.0561670921448231
36	Er37_SK27	-2.680517	0.573611	18.86	48.88	0.252958278886144
36	Er74_SP16	8.124281	-4.752485	2.26	41.67	0.90378252510554
36	Er72_SIE1B	8.367178	-0.367293	14.02	38.03	0.918413363824964
36	Er30_79	8.722667	-4.399729	-1.59	54.77	0.939826152889997
36	Er63_IR6	8.725787	-4.590785	-9.53	52.17	0.940014085292639
36	Er56_AZ5	8.727134	-4.997716	-25.68	37.74	0.940095221493395
36	Er58_FI7	8.868093	2.808799	24.94	60.17	0.948585850834438
36	Er29_122	8.927805	1.951434	14.42	50.12	0.952182587894238
36	Er71_SAR2	8.970346	0.865778	9.19	40.31	0.954745034157316
36	Er57_COR4	9.005147	0.852246	9.18	41.75	0.956841263498456
36	Er52_451	9.325298	2.009412	8.39	49.02	0.976125477164587
36	Er31_453	9.380016	0.989031	9.98	53.55	0.97942140191067
36	Er54_AU1	9.478472	2.273344	14.43	48.02	0.985351873908923
36	Er34_197	9.489373	2.161978	13.6	49.6	0.986008492858026
36	Er33_211	9.540253	2.447398	18.12	50.18	0.989073236654962
36	Er51_436	9.721656	1.753095	11.58	48.14	1
37	Er66_IT3	-4.171788	0.049583	11.12	46.22	0
37	Er32_183	-4.140604	0.301534	13.4	50.45	0.00323306518300664
37	Er39_PL1	-4.130995	0.058825	22.46	54.05	0.00422929797365274
37	Er35_209	-4.12774	0.039396	18.37	49.85	0.00456676677722788
37	Er41_GR36	-4.111847	0.070624	24.48	35.27	0.00621450616131986
37	Er44_VOJ1	-4.109979	0.148261	21.43	44.9	0.00640817489406281
37	Er69_R2	-4.096633	0.185583	34.1	44.95	0.00779184882724672
37	Er70_RMN42	-4.061158	-0.175442	24.74	46.83	0.0114697922394824
37	Er46_RMN7	-4.009887	0.177726	28.31	44.58	0.0167854183617865
37	Er47_CR4	-3.992421	-0.127255	17.59	42.87	0.0185962417483435
37	Er40_M2	-3.974423	0.124847	21.15	47.58	0.0204622213264525
37	Er42_GR35	-3.968397	-0.018655	24.5	35.33	0.0210869792405366
37	Er28_112	-3.962817	-0.161278	14.42	50.12	0.0216654971895225
37	Er36_SK24	-3.898578	0.02523	21.27	48.75	0.028325607319434
37	Er60_GR5	-3.894404	-0.008878	19.9	39.47	0.0287583553336037
37	Er43_SL7	-3.83218	-0.039477	14.32	46.27	0.0352095562041592
37	Er45_BLG3	-3.775008	0.015851	24.7	43.23	0.0411369806090737
37	Er50_R3	-3.746428	0.025411	39.15	53.02	0.0441000707492202
37	Er55_AU7	-3.730425	-0.18838	16.37	48.21	0.045759214609009
37	Er48_BH16	-3.704479	-0.180705	17.39	43.46	0.0484492193947417
37	Er37_SK27	-1.517098	0.165485	18.86	48.88	0.275230432615308
37	Er74_SP16	4.708298	-3.117687	2.26	41.67	0.920661136118016
37	Er72_SIE1B	4.754548	-0.494904	14.02	38.03	0.925456199763284
37	Er63_IR6	4.797033	-2.854723	-9.53	52.17	0.929860919308565
37	Er29_122	4.797583	0.84873	14.42	50.12	0.92991794168705
37	Er30_79	4.809228	-2.746292	-1.59	54.77	0.931125260955139
37	Er58_FI7	4.976499	1.735554	24.94	60.17	0.948467425085036
37	Er56_AZ5	5.001201	-2.865944	-25.68	37.74	0.951028455618342
37	Er57_COR4	5.039339	0.831207	9.18	41.75	0.954982491019494
37	Er67_IT5	5.080568	0.76538	10.22	42.75	0.959256992187727
37	Er71_SAR2	5.127184	0.791814	9.19	40.31	0.96409000163395
37	Er31_453	5.227083	0.518367	9.98	53.55	0.974447235430679
37	Er33_211	5.245187	1.226251	18.12	50.18	0.976324204776277
37	Er52_451	5.284882	1.495527	8.39	49.02	0.980439665347065
37	Er54_AU1	5.294713	0.949828	14.43	48.02	0.981458914443209
37	Er34_197	5.340392	1.529425	13.6	49.6	0.986194778491905
37	Er51_436	5.473548	0.899182	11.58	48.14	1
38	Er47_CR4	-1.494689	-0.168635	17.59	42.87	0
38	Er70_RMN42	-1.484503	-0.322668	24.74	46.83	0.0030490223282665
38	Er44_VOJ1	-1.401267	-0.034453	21.43	44.9	0.0279644378511008
38	Er32_183	-1.393616	0.237357	13.4	50.45	0.0302546469453053
38	Er39_PL1	-1.385921	0.154429	22.46	54.05	0.0325580267623101
38	Er69_R2	-1.350509	0.267536	34.1	44.95	0.0431580639396685
38	Er42_GR35	-1.350059	0.166867	24.5	35.33	0.0432927645137624
38	Er35_209	-1.342695	0.214869	18.37	49.85	0.0454970645751559
38	Er45_BLG3	-1.322254	0.170587	24.7	43.23	0.0516157633197166
38	Er43_SL7	-1.308747	-0.176771	14.32	46.27	0.0556588758847956
38	Er36_SK24	-1.30073	-0.027654	21.27	48.75	0.0580586414459298
38	Er40_M2	-1.299753	-0.301518	21.15	47.58	0.058351091359018
38	Er55_AU7	-1.292845	-0.040506	16.37	48.21	0.0604188948386631
38	Er41_GR36	-1.292241	0.147164	24.48	35.27	0.060599692942558
38	Er66_IT3	-1.266061	0.012956	11.12	46.22	0.0684362730087289
38	Er60_GR5	-1.186688	-0.3251	19.9	39.47	0.0921953589366198
38	Er48_BH16	-1.152653	-0.575278	17.39	43.46	0.102383212357251
38	Er28_112	-1.141927	-0.197098	14.42	50.12	0.10559387537443
38	Er46_RMN7	-1.097358	0.249803	28.31	44.58	0.118934919567294
38	Er61_GR87	-1.034856	0.357589	22.58	38.48	0.137643931305102
38	Er50_R3	-0.990957	0.524992	39.15	53.02	0.15078442130987
38	Er37_SK27	-0.032648	-0.342411	18.86	48.88	0.437639471219426
38	Er30_79	1.4666	-0.815146	-1.59	54.77	0.886416285239541
38	Er54_AU1	1.563498	-0.415256	14.43	48.02	0.915421210191865
38	Er58_FI7	1.598668	0.644188	24.94	60.17	0.925948808393821
38	Er57_COR4	1.614535	0.651192	9.18	41.75	0.930698350636371
38	Er67_IT5	1.645107	0.309985	10.22	42.75	0.939849608305697
38	Er29_122	1.645438	0.012055	14.42	50.12	0.939948688061308
38	Er63_IR6	1.649648	-0.266201	-9.53	52.17	0.941208886765609
38	Er33_211	1.67252	-0.214713	18.12	50.18	0.948055267944885
38	Er74_SP16	1.703535	-0.935504	2.26	41.67	0.957339130846042
38	Er56_AZ5	1.71582	-0.864524	-25.68	37.74	0.961016456518804
38	Er31_453	1.718599	-0.054139	9.98	53.55	0.961848307397486
38	Er51_436	1.725678	0.698268	11.58	48.14	0.963967297095287
38	Er71_SAR2	1.764721	0.751132	9.19	40.31	0.975654218238278
38	Er72_SIE1B	1.771661	0.174762	14.02	38.03	0.977731600425414
38	Er34_197	1.820895	0.409076	13.6	49.6	0.992469040569718
38	Er52_451	1.846054	-0.077229	8.39	49.02	1
39	Er39_PL1	-1.89419	-0.050208	22.46	54.05	0
39	Er44_VOJ1	-1.878548	0.318576	21.43	44.9	0.0035417987501132
39	Er70_RMN42	-1.874746	-0.262739	24.74	46.83	0.00440268091658365
39	Er40_M2	-1.869058	-0.298337	21.15	47.58	0.00569060773480662
39	Er42_GR35	-1.85004	-0.05433	24.5	35.33	0.00999682999728289
39	Er43_SL7	-1.847941	0.090085	14.32	46.27	0.0104721039760891
39	Er47_CR4	-1.8359	0.248276	17.59	42.87	0.0131985327415995
39	Er32_183	-1.822861	-0.10449	13.4	50.45	0.0161509374150892
39	Er66_IT3	-1.747585	0.162863	11.12	46.22	0.0331955891676479
39	Er55_AU7	-1.729909	0.136038	16.37	48.21	0.0371979440268092
39	Er69_R2	-1.722064	0.225538	34.1	44.95	0.038974277692238
39	Er60_GR5	-1.719027	-0.01065	19.9	39.47	0.039661941853093
39	Er41_GR36	-1.713708	0.59334	24.48	35.27	0.0408663164568427
39	Er36_SK24	-1.665703	0.056825	21.27	48.75	0.051736029345168
39	Er48_BH16	-1.658448	-0.57933	17.39	43.46	0.0533787700389458
39	Er35_209	-1.638725	-0.128088	18.37	49.85	0.0578446245811068
39	Er28_112	-1.619105	-0.033894	14.42	50.12	0.0622871569604203
39	Er46_RMN7	-1.609403	0.01089	28.31	44.58	0.0644839688434019
39	Er45_BLG3	-1.575991	0.158443	24.7	43.23	0.0720494067566344
39	Er50_R3	-1.451291	-0.090333	39.15	53.02	0.100285073815778
39	Er61_GR87	-1.129711	-0.390681	22.58	38.48	0.173100036228603
39	Er37_SK27	-0.566153	0.563485	18.86	48.88	0.300705778462096
39	Er62_GR95	0.39886	-0.506166	22.43	37.16	0.519212480753555
39	Er72_SIE1B	2.040695	-0.294837	14.02	38.03	0.890971152975274
39	Er30_79	2.085394	-1.277495	-1.59	54.77	0.901092292364822
39	Er57_COR4	2.095288	0.447639	9.18	41.75	0.903332578570782
39	Er74_SP16	2.099319	-1.271619	2.26	41.67	0.904245312924554
39	Er67_IT5	2.161738	-0.007705	10.22	42.75	0.918378770038946
39	Er33_211	2.172042	-0.012608	18.12	50.18	0.920711892038765
39	Er56_AZ5	2.217733	-1.24112	-25.68	37.74	0.931057648763699
39	Er29_122	2.224209	0.097692	14.42	50.12	0.932524001449144
39	Er51_436	2.2908	1.197141	11.58	48.14	0.947602119373245
39	Er63_IR6	2.2955	-0.759217	-9.53	52.17	0.948666334571144
39	Er58_FI7	2.321197	0.429612	24.94	60.17	0.954484874558464
39	Er54_AU1	2.327127	0.480834	14.43	48.02	0.955827597137941
39	Er31_453	2.358882	0.020202	9.98	53.55	0.963017842586722
39	Er71_SAR2	2.381392	0.896827	9.19	40.31	0.968114754098361
39	Er34_197	2.427723	0.771202	13.6	49.6	0.978605425233222
39	Er52_451	2.52221	0.46834	8.39	49.02	1
