scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,pi_concolor,dxy_roumanicus_europaeus,dxy_roumanicus_concolor,dxy_europaeus_concolor,Fst_roumanicus_europaeus,Fst_roumanicus_concolor,Fst_europaeus_concolor
NW_006803927.1,3486923,6336882,4862046,110,0.0627,0.1033,0.1074,0.3917,0.261,0.3625,0.6565,0.4451,0.4954
NW_006803927.1,6347177,10406833,8403847,110,0.0512,0.0883,0.0945,0.3585,0.2451,0.3825,0.6811,0.4844,0.5632
NW_006803927.1,10411511,13202915,12073764,110,0.0873,0.1049,0.0862,0.3568,0.2417,0.3141,0.5754,0.3674,0.4654
NW_006803928.1,1677,4137711,2178021,110,0.0519,0.0934,0.0669,0.3706,0.2105,0.3821,0.6797,0.4733,0.5818
NW_006803928.1,4174126,7726581,5770205,110,0.085,0.0864,0.0695,0.4047,0.2323,0.3833,0.6469,0.382,0.5973
NW_006803928.1,7763657,11414113,9367987,110,0.0643,0.1263,0.0859,0.4019,0.2692,0.3992,0.6267,0.4802,0.5023
NW_006803929.1,3954,4460219,1937217,110,0.0959,0.0489,0.0718,0.4582,0.2107,0.4468,0.7124,0.3126,0.7368
NW_006803929.1,4463118,7606445,6444232,110,0.0766,0.1133,0.064,0.3466,0.1444,0.3685,0.5743,0.2461,0.5262
NW_006803929.1,7607080,10954939,9381929,110,0.074,0.083,0.1286,0.37,0.218,0.4166,0.6483,0.3097,0.5658
NW_006803930.1,1733,2704538,1351489,110,0.0842,0.1203,0.1379,0.3847,0.3554,0.364,0.5836,0.4565,0.4281
NW_006803930.1,2717792,7124283,4768342,110,0.0903,0.1016,0.0979,0.3583,0.2887,0.3939,0.5758,0.4089,0.5379
NW_006803930.1,7142236,10296051,8721165,110,0.0557,0.114,0.0887,0.3126,0.1921,0.3723,0.584,0.3856,0.5012
NW_006803931.1,4343,3518063,1897823,110,0.0633,0.098,0.0876,0.3612,0.2586,0.3381,0.6401,0.4675,0.5064
NW_006803931.1,3530194,7926681,5910839,110,0.0594,0.0906,0.1447,0.3905,0.2526,0.4219,0.6824,0.3914,0.5363
NW_006803931.1,7928404,10786845,9694183,110,0.0567,0.0744,0.0692,0.4783,0.2588,0.4553,0.7603,0.5194,0.6765
NW_006803932.1,30599,3685532,2093748,110,0.0519,0.0752,0.0816,0.441,0.2587,0.4502,0.7511,0.5201,0.6583
NW_006803932.1,3697286,7900861,5972028,110,0.0578,0.0898,0.0702,0.4562,0.2961,0.4241,0.726,0.5571,0.6181
NW_006803933.1,17114,3046402,1718803,110,0.0639,0.094,0.0496,0.4948,0.2067,0.5058,0.7281,0.445,0.6774
NW_006803933.1,3115176,5770889,4432721,110,0.0477,0.0981,0.0772,0.3923,0.2113,0.4038,0.6964,0.4753,0.5763
NW_006803933.1,5803219,8988738,7244525,110,0.0651,0.0905,0.0918,0.4135,0.2671,0.5146,0.6859,0.4665,0.6499
NW_006803933.1,9046443,10910493,9933724,103,0.0674,0.0889,0.0868,0.3961,0.2682,0.3337,0.6723,0.467,0.5258
NW_006803934.1,783,4525922,2771640,110,0.078,0.0813,0.0929,0.4687,0.256,0.4554,0.7068,0.4075,0.635
NW_006803934.1,4560849,6692673,5706164,110,0.0494,0.1131,0.1037,0.4067,0.2838,0.3849,0.6791,0.5291,0.4989
NW_006803934.1,6711158,9564004,8125083,110,0.0803,0.0763,0.0972,0.3966,0.3042,0.3909,0.6654,0.4567,0.5967
NW_006803935.1,45635,4567659,2885168,110,0.0525,0.0922,0.0756,0.4061,0.2107,0.4147,0.7044,0.456,0.6001
NW_006803935.1,4582205,10901893,6542127,104,0.0621,0.0657,0.1022,0.4211,0.2573,0.3879,0.7341,0.4491,0.6165
NW_006803936.1,20696,5845271,2928237,110,0.049,0.0959,0.0698,0.455,0.2434,0.4162,0.7336,0.5307,0.5986
NW_006803936.1,5856318,8787360,7267735,110,0.0553,0.1056,0.0907,0.4289,0.2121,0.4724,0.6927,0.4215,0.5944
NW_006803937.1,31308,2958310,1505832,110,0.0562,0.092,0.075,0.4243,0.2411,0.3816,0.7082,0.4886,0.5757
NW_006803937.1,3071328,7297653,5001657,110,0.0536,0.103,0.0528,0.4926,0.2541,0.417,0.7336,0.551,0.6007
NW_006803937.1,7306209,10751454,9005076,109,0.0528,0.0778,0.0727,0.4434,0.2258,0.4907,0.7467,0.484,0.684
NW_006803938.1,30915,3439249,1650529,110,0.0964,0.064,0.1117,0.3954,0.3,0.3639,0.651,0.3915,0.5895
NW_006803938.1,3488538,5956554,4806269,110,0.0535,0.071,0.086,0.4548,0.1998,0.4689,0.7608,0.4144,0.6747
NW_006803938.1,6005494,9928143,7827609,100,0.08,0.0805,0.0985,0.4675,0.2121,0.44,0.7035,0.3239,0.6209
NW_006803939.1,40511,3796887,1865582,110,0.0606,0.0985,0.1012,0.4833,0.2194,0.4813,0.7225,0.3969,0.605
NW_006803939.1,3832817,7363210,5576655,110,0.0592,0.0862,0.0799,0.4368,0.2644,0.4458,0.718,0.5011,0.631
NW_006803939.1,7372971,9920464,8687313,110,0.0597,0.0767,0.139,0.2973,0.3098,0.3225,0.6279,0.4762,0.4787
NW_006803940.1,4201,4156801,2107756,110,0.1,0.0911,0.085,0.4068,0.2862,0.4577,0.6136,0.3946,0.6219
NW_006803940.1,4159943,6542935,5187577,110,0.0832,0.0949,0.0786,0.3806,0.2786,0.3542,0.6196,0.4398,0.5403
NW_006803941.1,27015,3232557,1198383,110,0.0727,0.1058,0.0693,0.3989,0.2726,0.3511,0.6381,0.4775,0.5219
NW_006803941.1,3255016,5747298,4408917,110,0.0522,0.1263,0.0994,0.3681,0.2638,0.3992,0.6237,0.499,0.4889
NW_006803941.1,5764486,9706977,7748517,110,0.0832,0.0796,0.0763,0.3445,0.3314,0.4149,0.6129,0.5011,0.6304
NW_006803942.1,41496,3423086,1809769,110,0.0636,0.114,0.0621,0.3961,0.1531,0.3639,0.6418,0.3176,0.5228
NW_006803942.1,3431654,7439397,5231736,110,0.0468,0.0987,0.0553,0.3853,0.1785,0.4057,0.6927,0.4618,0.5999
NW_006803943.1,118143,3123550,1500200,110,0.0588,0.0836,0.0906,0.3239,0.2054,0.3958,0.643,0.3959,0.5899
NW_006803943.1,3143897,7010329,5079341,110,0.0766,0.1146,0.1165,0.3595,0.2514,0.4431,0.5845,0.3742,0.5314
NW_006803944.1,7682,3043329,1871772,110,0.0752,0.0903,0.1187,0.4287,0.2454,0.4583,0.6763,0.3662,0.5904
NW_006803944.1,3045372,8143607,5261177,110,0.0479,0.0989,0.1199,0.4041,0.2908,0.4421,0.7024,0.5203,0.5592
NW_006803945.1,16530,3457240,1589604,110,0.0566,0.1039,0.0902,0.432,0.2205,0.3731,0.6944,0.4312,0.5229
NW_006803945.1,3486967,6979227,5340481,110,0.0335,0.0932,0.0939,0.3903,0.2301,0.4685,0.7347,0.5439,0.6153
NW_006803946.1,26054,4760465,2778807,110,0.0723,0.1085,0.1102,0.4002,0.3138,0.4054,0.6358,0.4762,0.5197
NW_006803946.1,4765841,7718850,5967751,110,0.0703,0.0952,0.1191,0.3644,0.3381,0.3269,0.6322,0.4982,0.4631
NW_006803947.1,7975,3198282,1544515,110,0.044,0.0924,0.0818,0.4668,0.1371,0.486,0.7541,0.3198,0.6395
NW_006803947.1,3233732,8874241,5816939,110,0.0516,0.0785,0.0901,0.4192,0.1719,0.4879,0.7353,0.3577,0.6633
NW_006803948.1,279530,2813184,1507916,110,0.0921,0.1321,0.0645,0.4484,0.2988,0.3369,0.6037,0.454,0.454
NW_006803948.1,2820338,7070067,4562668,110,0.1001,0.1134,0.091,0.3357,0.305,0.3843,0.5161,0.4105,0.511
NW_006803949.1,4199,4283249,2462095,110,0.0657,0.0552,0.0691,0.4491,0.2177,0.4051,0.7569,0.4251,0.6988
NW_006803949.1,4304055,8591430,6624198,110,0.0492,0.0778,0.0667,0.4877,0.2625,0.4876,0.7738,0.5591,0.6883
NW_006803950.1,28136,3031177,1546891,110,0.0725,0.0692,0.0604,0.4575,0.2034,0.4453,0.7276,0.3894,0.6938
NW_006803950.1,3039269,6788042,4485264,110,0.0714,0.0848,0.0919,0.3724,0.2967,0.3474,0.6528,0.4818,0.5434
NW_006803951.1,12792,2482825,1079419,110,0.0682,0.0847,0.0551,0.4326,0.2256,0.4287,0.7001,0.4494,0.65
NW_006803951.1,2510467,5387551,4072068,110,0.0515,0.0884,0.0851,0.4396,0.214,0.4503,0.7315,0.4496,0.6234
NW_006803953.1,83114,4435667,2197406,110,0.0622,0.0798,0.0792,0.4823,0.2329,0.413,0.7443,0.4466,0.625
NW_006803953.1,4437649,7795597,5806970,110,0.0617,0.1184,0.0766,0.444,0.2142,0.4096,0.6717,0.4226,0.5365
NW_006803954.1,3547,5386241,2966930,110,0.0537,0.0983,0.09,0.4638,0.2551,0.4345,0.7257,0.4954,0.5851
NW_006803955.1,188,5686471,3323129,110,0.0607,0.0843,0.0737,0.4255,0.1801,0.4616,0.7113,0.368,0.6515
NW_006803956.1,43665,3118981,1695561,110,0.076,0.0709,0.0608,0.4054,0.1901,0.414,0.6883,0.3525,0.6701
NW_006803956.1,3129126,6208602,4488077,110,0.0476,0.0597,0.099,0.4236,0.2638,0.4742,0.7758,0.518,0.692
NW_006803957.1,57712,2907209,1574843,110,0.0607,0.1134,0.0992,0.4316,0.2625,0.4412,0.6728,0.4657,0.5489
NW_006803957.1,2915123,6607584,4367277,110,0.0615,0.0837,0.071,0.4613,0.2195,0.4589,0.73,0.441,0.6541
NW_006803958.1,63452,3033926,1409008,110,0.0446,0.0983,0.0851,0.4398,0.2228,0.476,0.7307,0.4945,0.6174
NW_006803958.1,3049548,6442519,5005051,110,0.0679,0.0719,0.0769,0.4491,0.2632,0.416,0.7283,0.472,0.6501
NW_006803959.1,35621,5132230,2731507,110,0.0864,0.0737,0.07,0.394,0.2795,0.3385,0.6554,0.4416,0.5936
NW_006803960.1,19578,4134949,1717545,110,0.0518,0.0966,0.1032,0.4549,0.2452,0.4738,0.7271,0.4687,0.6023
NW_006803961.1,208042,3094803,1349458,110,0.0483,0.1032,0.093,0.475,0.2466,0.432,0.7347,0.5012,0.5695
NW_006803961.1,3122834,5816089,4683098,110,0.0969,0.1032,0.0712,0.3717,0.2767,0.3595,0.573,0.4066,0.5336
NW_006803962.1,5363,2730597,1727654,110,0.0635,0.0961,0.0793,0.3563,0.1899,0.3561,0.6386,0.3673,0.5383
NW_006803962.1,2763721,6888511,4486641,104,0.0558,0.0902,0.0805,0.4847,0.338,0.4306,0.7431,0.5919,0.6107
NW_006803963.1,352913,4050765,2742913,110,0.1026,0.1093,0.0931,0.381,0.3073,0.3473,0.5622,0.4046,0.4827
NW_006803963.1,4139997,6478992,5263467,110,0.0753,0.0948,0.1037,0.3924,0.2894,0.3383,0.6446,0.4464,0.495
NW_006803964.1,21957,3563343,1824660,110,0.0452,0.1055,0.0977,0.427,0.2574,0.4479,0.7117,0.5214,0.5715
NW_006803964.1,3594513,5730728,4706101,110,0.1009,0.0998,0.0838,0.3334,0.2606,0.3138,0.5329,0.3603,0.4806
NW_006803965.1,2384,5157622,2598451,110,0.0376,0.0875,0.071,0.4966,0.2005,0.5396,0.7859,0.5191,0.688
NW_006803966.1,899,5152074,2987140,110,0.084,0.0817,0.1175,0.4372,0.2269,0.449,0.6772,0.3124,0.6042
NW_006803967.1,882,4803552,2454552,110,0.0825,0.0939,0.069,0.4158,0.2454,0.4128,0.6488,0.4097,0.6016
NW_006803967.1,4991151,6724997,5792345,106,0.0964,0.1006,0.0856,0.3537,0.3182,0.4157,0.5613,0.4406,0.5708
NW_006803968.1,5622,3732805,1912168,110,0.0699,0.0839,0.0861,0.4709,0.2291,0.4903,0.7191,0.4028,0.6564
NW_006803969.1,36634,4115412,2073700,110,0.0545,0.0859,0.0927,0.4001,0.2159,0.3653,0.7063,0.428,0.5562
NW_006803969.1,4145373,7130737,5424584,110,0.045,0.1049,0.0462,0.5134,0.2375,0.5012,0.7559,0.5808,0.6547
NW_006803970.1,17270,2274509,1222381,110,0.0548,0.0926,0.0888,0.4315,0.199,0.4148,0.7144,0.4029,0.585
NW_006803970.1,2337229,5304318,3968024,110,0.0439,0.0904,0.0794,0.4366,0.16,0.4107,0.7423,0.3862,0.5973
NW_006803971.1,12512,5048213,2298630,110,0.0765,0.1054,0.0731,0.4269,0.2511,0.399,0.6514,0.4315,0.56
NW_006803972.1,1431,2652464,1436128,110,0.0904,0.0975,0.1378,0.3888,0.3222,0.4013,0.6083,0.4049,0.511
NW_006803972.1,2668064,5589391,4129219,110,0.0889,0.098,0.1004,0.4058,0.3254,0.4151,0.6238,0.4524,0.5607
NW_006803973.1,3802,2684565,1304053,110,0.067,0.1021,0.0864,0.4536,0.2323,0.4363,0.6902,0.4176,0.5816
NW_006803973.1,2731605,5168702,3941386,110,0.0554,0.0783,0.0901,0.3787,0.3031,0.4653,0.7027,0.5467,0.6509
NW_006803974.1,14621,4148701,2038113,110,0.0657,0.1504,0.0913,0.3917,0.202,0.4539,0.5811,0.363,0.4959
NW_006803975.1,20496,5276412,2484868,110,0.0617,0.0842,0.0798,0.3629,0.2341,0.442,0.6675,0.4494,0.6332
NW_006803976.1,108006,5044466,2898569,110,0.0692,0.1172,0.0836,0.4132,0.2405,0.4136,0.6388,0.4262,0.5352
NW_006803977.1,6912,5459010,3101919,110,0.0502,0.0874,0.087,0.4686,0.2455,0.4889,0.7499,0.5009,0.6469
NW_006803978.1,66322,3513409,1736970,110,0.073,0.0641,0.0914,0.4001,0.2478,0.362,0.7017,0.4135,0.6137
NW_006803979.1,70765,3353055,1923383,110,0.0447,0.0998,0.0881,0.3882,0.2541,0.4051,0.6974,0.5343,0.5617
NW_006803979.1,3354569,6513014,4899215,106,0.0437,0.0652,0.1001,0.3643,0.1853,0.4179,0.7434,0.4023,0.6421
NW_006803980.1,17476,4457043,2660174,110,0.0462,0.079,0.1173,0.4558,0.263,0.4296,0.7641,0.495,0.5971
NW_006803981.1,10348,4556893,1857157,110,0.0595,0.0858,0.0941,0.4148,0.2433,0.4087,0.7051,0.4502,0.5906
NW_006803982.1,4705,3636478,2325306,110,0.0752,0.0886,0.0947,0.4624,0.2886,0.4542,0.6986,0.4569,0.6155
NW_006803982.1,3682651,6164498,4957775,110,0.1155,0.067,0.1062,0.3278,0.2845,0.3176,0.549,0.3328,0.5434
NW_006803983.1,6360,3681450,2030899,110,0.0655,0.0914,0.0558,0.4537,0.1749,0.4033,0.7078,0.37,0.6154
NW_006803984.1,11683,4780566,2765413,110,0.0479,0.0813,0.0831,0.4475,0.2564,0.4515,0.7534,0.5316,0.6428
NW_006803985.1,10914,2359550,1232750,110,0.0721,0.0881,0.1264,0.3332,0.2984,0.348,0.6125,0.4393,0.4941
NW_006803986.1,10223,4730953,2063051,110,0.0433,0.0929,0.1007,0.421,0.2003,0.4506,0.7313,0.4332,0.5974
NW_006803987.1,171501,3356292,1742143,110,0.0449,0.1078,0.0876,0.387,0.232,0.4093,0.6833,0.5033,0.5475
NW_006803989.1,1239,3874058,1706104,110,0.0525,0.0987,0.0646,0.4462,0.2348,0.4133,0.718,0.5114,0.5954
NW_006803990.1,9650,4101657,2231704,110,0.0657,0.1051,0.1188,0.3534,0.3329,0.3896,0.6167,0.5074,0.5043
NW_006803991.1,299,3351038,1604666,110,0.0745,0.0733,0.0747,0.3861,0.2345,0.3593,0.6746,0.4119,0.6066
NW_006803992.1,30462,5101310,2105926,110,0.0956,0.0708,0.0669,0.391,0.227,0.3809,0.6392,0.3461,0.6404
NW_006803993.1,48623,2365059,1274502,110,0.0931,0.072,0.0986,0.3996,0.3007,0.4327,0.6487,0.4153,0.6365
NW_006803994.1,34681,4834867,2407372,110,0.0549,0.115,0.0874,0.4408,0.2113,0.3828,0.6872,0.4271,0.5101
NW_006803995.1,1580,3132418,1745448,110,0.0436,0.0726,0.0684,0.4188,0.2324,0.3898,0.7614,0.5424,0.6401
NW_006803995.1,3246008,5631867,4312199,101,0.0847,0.0821,0.0931,0.333,0.3888,0.3788,0.5947,0.5312,0.5771
NW_006803996.1,11287,3087912,1792985,110,0.0557,0.1011,0.0582,0.4183,0.2168,0.4477,0.692,0.4818,0.62
NW_006803998.1,2915,4547241,1999530,110,0.0419,0.0816,0.0715,0.4417,0.1939,0.4752,0.7623,0.4833,0.668
NW_006803999.1,31276,3731531,1849495,110,0.0918,0.0862,0.114,0.3561,0.2615,0.3595,0.5947,0.3499,0.5248
NW_006804000.1,1008,3953127,2153761,110,0.0501,0.0892,0.0947,0.3567,0.2323,0.3663,0.6807,0.4695,0.5465
NW_006804001.1,50582,4384504,2715503,110,0.0481,0.0965,0.0971,0.4133,0.2059,0.4639,0.7113,0.4288,0.602
NW_006804002.1,97100,3992829,1606391,110,0.0503,0.0942,0.0918,0.4203,0.2012,0.4362,0.7145,0.4203,0.5937
NW_006804003.1,6975,3824614,1927983,110,0.1448,0.0534,0.0889,0.2578,0.3392,0.3685,0.4214,0.3521,0.6537
NW_006804004.1,45363,3371185,1897579,110,0.0738,0.0888,0.1187,0.3667,0.2568,0.3487,0.637,0.3876,0.5023
NW_006804005.1,36995,3725322,1739603,110,0.0574,0.0819,0.0897,0.3643,0.1765,0.3899,0.6823,0.345,0.5908
NW_006804006.1,26615,3766103,2434802,110,0.0735,0.0857,0.1104,0.4087,0.2399,0.4348,0.6732,0.3738,0.5926
NW_006804007.1,4184,3012565,1281662,110,0.0583,0.1188,0.0837,0.3261,0.2242,0.3278,0.5839,0.441,0.4517
NW_006804008.1,41801,2836002,1537102,110,0.0701,0.0836,0.0827,0.3896,0.309,0.3643,0.6702,0.5111,0.5733
NW_006804008.1,2844677,5439979,4232074,106,0.0361,0.1308,0.1097,0.4433,0.3296,0.4318,0.7019,0.6224,0.4976
NW_006804009.1,11730,2846824,1296910,110,0.0881,0.105,0.1184,0.3694,0.2718,0.3427,0.5851,0.3689,0.4587
NW_006804010.1,200489,2717606,1243356,110,0.094,0.1145,0.0738,0.3421,0.2486,0.314,0.5332,0.3742,0.4575
NW_006804011.1,171420,4125615,2542305,110,0.0619,0.1051,0.0497,0.3867,0.218,0.3831,0.6517,0.4714,0.5736
NW_006804012.1,22834,3629141,1900059,110,0.0684,0.1173,0.1165,0.3315,0.2896,0.3931,0.5698,0.4519,0.4843
NW_006804013.1,49292,5371793,2030492,106,0.1016,0.1513,0.079,0.3117,0.2459,0.3086,0.4273,0.3434,0.3681
NW_006804015.1,101341,3436255,2051903,110,0.0617,0.0826,0.0758,0.3878,0.2868,0.3334,0.6882,0.5246,0.556
NW_006804016.1,695,3577383,1993051,110,0.1013,0.1195,0.1128,0.3434,0.3208,0.3708,0.5129,0.4025,0.4629
NW_006804017.1,14146,4237086,2055960,110,0.0462,0.1055,0.0624,0.4862,0.2188,0.4759,0.7407,0.5207,0.6239
NW_006804018.1,12857,2842371,1353906,110,0.0554,0.0858,0.0656,0.4496,0.3281,0.3824,0.733,0.6034,0.6029
NW_006804019.1,47135,4482496,2448173,110,0.0562,0.0748,0.0882,0.3797,0.263,0.4432,0.7075,0.4989,0.6478
NW_006804020.1,16943,4516987,2206046,110,0.0871,0.0868,0.0912,0.3522,0.2452,0.3589,0.6001,0.367,0.55
NW_006804021.1,27172,2822863,1795755,110,0.066,0.0964,0.1055,0.4099,0.2795,0.4487,0.673,0.4613,0.5837
NW_006804022.1,46438,4404558,2581143,110,0.0473,0.1046,0.082,0.3933,0.2355,0.3639,0.6876,0.5071,0.522
NW_006804023.1,29301,1559579,883382,110,0.0866,0.1189,0.11,0.3715,0.2784,0.3652,0.5695,0.3919,0.4614
NW_006804023.1,1599876,3437010,2550074,110,0.0873,0.1069,0.0976,0.4169,0.2979,0.394,0.6225,0.4289,0.5268
NW_006804024.1,41322,4654821,2465848,110,0.0414,0.0925,0.0668,0.4361,0.1678,0.4363,0.744,0.4442,0.6236
NW_006804025.1,8266,3680709,1958620,110,0.0787,0.0987,0.0698,0.3942,0.2351,0.3941,0.6334,0.4058,0.5753
NW_006804026.1,17318,4065304,2056412,110,0.0469,0.1053,0.0547,0.4092,0.2195,0.3966,0.6978,0.5322,0.5783
NW_006804027.1,23106,3825324,1886037,110,0.1126,0.1259,0.0984,0.3104,0.3145,0.3631,0.4432,0.3834,0.4572
NW_006804028.1,2003,3618692,1836022,110,0.0712,0.0914,0.0741,0.4688,0.228,0.449,0.7055,0.4141,0.6267
NW_006804029.1,79631,3382877,1662139,110,0.0848,0.0931,0.1148,0.3959,0.3263,0.4034,0.6312,0.449,0.5469
NW_006804030.1,105842,5080175,3059166,104,0.0564,0.0887,0.0989,0.3828,0.2825,0.4225,0.6864,0.5077,0.5889
NW_006804031.1,58037,3857353,2057706,110,0.0715,0.0814,0.0786,0.4547,0.2509,0.4576,0.7111,0.4406,0.651
NW_006804032.1,15121,4928105,2567454,110,0.0727,0.1059,0.0658,0.4396,0.2602,0.4265,0.666,0.4665,0.5872
NW_006804033.1,41973,2218082,933443,110,0.0664,0.0898,0.1032,0.3517,0.2204,0.3465,0.639,0.3752,0.5162
NW_006804033.1,2219788,4791756,3318657,106,0.0716,0.0941,0.1449,0.3362,0.2537,0.3786,0.6063,0.3551,0.4899
NW_006804034.1,24473,2810270,1346921,110,0.0489,0.0871,0.0874,0.4666,0.1752,0.4633,0.752,0.3819,0.632
NW_006804035.1,10470,4037839,2178452,110,0.046,0.1125,0.0847,0.4435,0.1565,0.4533,0.7092,0.3564,0.5731
NW_006804036.1,99526,4186671,2465884,101,0.0362,0.0737,0.0966,0.3745,0.2406,0.3918,0.7526,0.5407,0.6049
NW_006804037.1,14614,4935468,2225639,107,0.0714,0.081,0.0694,0.3708,0.2023,0.3818,0.6579,0.3777,0.6104
NW_006804038.1,161398,2429956,1240333,110,0.0657,0.1083,0.078,0.3063,0.2965,0.3285,0.5644,0.5184,0.483
NW_006804039.1,51145,3616019,1855656,110,0.0702,0.0807,0.0487,0.4482,0.2201,0.4393,0.7109,0.4432,0.6736
NW_006804040.1,32432,2984974,1407893,110,0.0768,0.0698,0.1201,0.3856,0.2529,0.3675,0.675,0.371,0.5665
NW_006804041.1,2868,3262105,1703081,110,0.0606,0.1151,0.0916,0.4613,0.257,0.4067,0.6885,0.4694,0.5259
NW_006804042.1,68036,3473917,1746678,110,0.047,0.0829,0.1128,0.3944,0.2456,0.4184,0.7238,0.4734,0.5844
NW_006804044.1,418332,4432729,2519615,110,0.0407,0.0967,0.0657,0.4162,0.2887,0.4409,0.7283,0.6275,0.618
NW_006804047.1,12612,1884326,1061612,110,0.0496,0.0739,0.092,0.4504,0.2506,0.4374,0.7623,0.5027,0.6423
NW_006804048.1,9068,3023395,1533737,110,0.0708,0.1126,0.0678,0.4032,0.2513,0.3731,0.6351,0.4585,0.5277
NW_006804049.1,34858,2376155,1139993,110,0.061,0.1225,0.0677,0.5144,0.1945,0.4247,0.7065,0.4055,0.5484
NW_006804049.1,2387012,4494699,3494031,106,0.0442,0.1453,0.0924,0.5026,0.208,0.5515,0.7003,0.4587,0.5674
NW_006804050.1,21717,2541189,1285910,110,0.0692,0.0893,0.1294,0.4332,0.3023,0.3842,0.6919,0.4493,0.5229
NW_006804051.1,12013,4056185,2000488,110,0.0617,0.0943,0.0701,0.4238,0.2229,0.382,0.6935,0.447,0.5758
NW_006804052.1,14722,2965184,1440383,110,0.0418,0.1027,0.1086,0.4103,0.2145,0.4338,0.7131,0.452,0.5562
NW_006804053.1,3079,2399674,1346824,110,0.0965,0.0749,0.092,0.398,0.3823,0.2949,0.6367,0.4959,0.5148
NW_006804055.1,27111,4458661,2700026,110,0.0474,0.0922,0.0799,0.3937,0.2116,0.398,0.7073,0.4725,0.5827
NW_006804058.1,76654,4538388,2078700,102,0.0751,0.1017,0.1035,0.4533,0.2257,0.4344,0.6758,0.3554,0.5641
NW_006804059.1,11319,3511335,1984744,110,0.0452,0.0781,0.0533,0.4944,0.2121,0.4231,0.7837,0.532,0.6655
NW_006804060.1,24106,3545396,1788577,110,0.0554,0.1477,0.1044,0.4757,0.2931,0.3985,0.6632,0.5163,0.4432
NW_006804061.1,6216,3198754,1340369,110,0.0374,0.066,0.1059,0.3658,0.2196,0.3832,0.7586,0.4861,0.6075
NW_006804063.1,111631,2525949,1239783,110,0.0841,0.0754,0.106,0.4333,0.3815,0.3638,0.6834,0.5141,0.5658
NW_006804064.1,2475,3112979,1614077,110,0.0777,0.0841,0.1409,0.28,0.3135,0.3412,0.5493,0.4247,0.479
NW_006804066.1,23072,2642119,1401014,110,0.0511,0.0864,0.0975,0.3906,0.1844,0.4317,0.7069,0.373,0.6024
NW_006804067.1,3777,4404848,2297524,105,0.0399,0.0906,0.0933,0.3869,0.215,0.4591,0.7224,0.489,0.6157
NW_006804068.1,2768,3306964,1678953,110,0.0463,0.0722,0.0847,0.4443,0.2181,0.4214,0.7688,0.48,0.6441
NW_006804069.1,833,3188177,1506926,110,0.0534,0.1052,0.0877,0.4048,0.2079,0.4209,0.6816,0.4266,0.5623
NW_006804070.1,24817,2348084,998237,110,0.0944,0.0964,0.0777,0.4556,0.2976,0.4535,0.6503,0.4313,0.6147
NW_006804072.1,27742,2230381,998904,110,0.0654,0.098,0.0898,0.4235,0.2956,0.3572,0.6807,0.5032,0.5225
NW_006804073.1,32661,2782308,1440328,110,0.0886,0.0932,0.0989,0.4447,0.3351,0.4309,0.6577,0.465,0.5848
NW_006804074.1,19216,3549970,1726931,110,0.0382,0.1123,0.0646,0.4414,0.2182,0.4807,0.7239,0.5562,0.6104
