#Locus	GC%
loc773505	0.4367
loc848971	0.5223
loc738530	0.5106
loc232396	0.5075
loc298272	0.5519
loc738534	0.5706
loc661827	0.5122
loc240719	0.4504
loc285655	0.5486
loc298275	0.4594
loc175216	0.5243
loc484642	0.5490
loc807922	0.5893
loc191892	0.4534
loc596328	0.5390
loc193136	0.5821
loc127626	0.5641
loc393903	0.6369
loc113227	0.4340
loc500777	0.5475
loc824066	0.5367
loc811446	0.4990
loc774379	0.6186
loc158166	0.5379
loc453191	0.5057
loc158167	0.5457
loc843765	0.5404
loc824069	0.5301
loc393909	0.3579
loc511200	0.5070
loc279025	0.5378
loc357153	0.6348
loc150847	0.5537
loc200534	0.5534
loc227555	0.4674
loc712389	0.4793
loc474138	0.4873
loc181387	0.5474
loc634267	0.5487
loc666584	0.5913
loc128496	0.5714
loc115876	0.6390
loc375077	0.4842
loc653966	0.4145
loc618990	0.5341
loc47613	0.5676
loc375079	0.4379
loc133795	0.5528
loc115879	0.5757
loc783568	0.4194
loc652188	0.4908
loc204422	0.4045
loc557929	0.5651
loc172653	0.5616
loc769533	0.6203
loc79938	0.7085
loc172659	0.4947
loc656075	0.5570
loc142980	0.4308
loc773057	0.5314
loc682313	0.4989
loc869463	0.4816
loc732004	0.4815
loc349294	0.5547
loc712847	0.4361
loc293527	0.5057
loc751703	0.5446
loc210593	0.5533
loc828409	0.3769
loc503345	0.6220
loc322278	0.4774
loc258553	0.5920
loc180067	0.4958
loc860369	0.5217
loc751709	0.4691
loc691501	0.3784
loc164790	0.5857
loc443143	0.4502
loc444925	0.4741
loc201861	0.6057
loc57675	0.4727
loc430527	0.5680
loc214483	0.4532
loc526931	0.4689
loc496403	0.5568
loc603277	0.3821
loc75594	0.4917
loc164799	0.5475
loc344086	0.5059
loc882175	0.4272
loc104047	0.5940
loc882179	0.4600
loc802269	0.5060
loc173981	0.4438
loc205754	0.4073
loc388611	0.4910
loc179103	0.5031
loc452337	0.4883
loc552261	0.5244
loc579282	0.4002
loc385595	0.5243
loc521727	0.5279
loc184411	0.5231
loc850312	0.5166
loc330140	0.4116
loc276938	0.4989
loc145559	0.4527
loc176097	0.5304
loc330146	0.5296
loc232863	0.5911
loc458870	0.5476
loc660515	0.5440
loc376868	0.4813
loc797979	0.5921
loc479813	0.5000
loc298746	0.6084
loc348437	0.5462
loc593775	0.5110
loc314879	0.6171
loc787464	0.4726
loc756928	0.5890
loc17951	0.4631
loc855070	0.4955
loc650006	0.4612
loc131616	0.5097
loc384277	0.5033
loc707559	0.6329
loc48495	0.5513
loc109262	0.4899
loc807480	0.4794
loc569226	0.4774
loc474607	0.5657
loc423994	0.5967
loc171343	0.3354
loc603284	0.4576
loc475472	0.4937
loc443157	0.5274
loc429118	0.5015
loc462856	0.5209
loc136372	0.5751
loc249837	0.5049
loc123753	0.5958
loc162611	0.5533
loc370336	0.4522
loc841135	0.5662
loc769091	0.4508
loc175235	0.5021
loc742072	0.5587
loc551409	0.4834
loc845016	0.5767
loc651332	0.5538
loc873458	0.4258
loc109729	0.4940
loc289562	0.5510
loc117122	0.6013
loc223688	0.5535
loc230227	0.6020
loc166504	0.5014
loc293082	0.6301
loc131166	0.5174
loc293083	0.5390
loc846808	0.5412
loc799216	0.5199
loc592912	0.6411
loc877346	0.4880
loc829750	0.5923
loc719306	0.5768
loc101492	0.5364
loc331939	0.4643
loc655229	0.5932
loc465420	0.5895
loc673146	0.5662
loc820655	0.5371
loc611150	0.4786
loc380396	0.5385
loc852973	0.5323
loc70850	0.4333
loc431867	0.4884
loc126322	0.3997
loc218847	0.4439
loc526492	0.5013
loc452809	0.4491
loc222367	0.4926
loc675793	0.5416
loc176560	0.4644
loc339711	0.4235
loc579753	0.4898
loc730782	0.4376
loc696738	0.5514
loc485991	0.5737
loc733807	0.5002
loc388171	0.5622
loc128972	0.5642
loc127192	0.4849
loc389953	0.4314
loc101954	0.4667
loc807495	0.4459
loc796663	0.5789
loc833731	0.5206
loc181869	0.5716
loc751729	0.4587
loc833733	0.4986
loc878670	0.5300
loc171350	0.6167
loc327963	0.4780
loc617693	0.5745
loc444945	0.4643
loc475482	0.4237
loc320105	0.5153
loc720276	0.4889
loc483803	0.4610
loc281799	0.5172
loc661850	0.5931
loc622996	0.4900
loc462869	0.5216
loc400873	0.5206
loc692394	0.5280
loc791459	0.4670
loc69905	0.5481
loc52483	0.7523
loc448839	0.4049
loc420039	0.5023
loc189647	0.5477
loc696282	0.5582
loc293091	0.4810
loc74290	0.4876
loc74292	0.4784
loc118923	0.5775
loc136840	0.5277
loc122441	0.4494
loc687550	0.4076
loc786615	0.4640
loc227589	0.4686
loc175700	0.5944
loc703682	0.5247
loc253826	0.5013
loc387302	0.5816
loc724623	0.4912
loc502500	0.5022
loc714101	0.5174
loc847688	0.5540
loc806631	0.3793
loc876020	0.4273
loc714104	0.5211
loc806633	0.4583
loc417841	0.4961
loc593796	0.5657
loc417842	0.4647
loc236776	0.5601
loc502508	0.4330
loc243316	0.4710
loc565362	0.4698
loc863411	0.4569
loc435765	0.4102
loc855094	0.6183
loc261238	0.4597
loc74750	0.4225
loc517770	0.3757
loc442306	0.4167
loc579768	0.5678
loc101960	0.4871
loc162177	0.5193
loc252500	0.5429
loc602438	0.5188
loc213646	0.5223
loc362944	0.4861
loc647377	0.5502
loc375566	0.5576
loc140823	0.5384
loc425256	0.5287
loc611620	0.4662
loc542237	0.5416
loc702368	0.6664
loc475492	0.5173
loc409981	0.5666
loc192306	0.5637
loc720288	0.4673
loc656563	0.4712
loc823233	0.5755
loc656566	0.5205
loc738572	0.4683
loc48974	0.4440
loc180550	0.5650
loc841155	0.5256
loc180552	0.5944
loc743873	0.4094
loc47199	0.4817
loc275180	0.5329
loc825881	0.2753
loc637313	0.5188
loc425713	0.4969
loc503839	0.5432
loc91356	0.5746
loc825884	0.5432
loc411315	0.5156
loc234123	0.4804
loc262567	0.5646
loc227591	0.4849
loc330172	0.6242
loc443637	0.4970
loc50305	0.4657
loc474174	0.3749
loc197067	0.5482
loc252051	0.4437
loc841611	0.4547
loc847693	0.4506
loc437002	0.5691
loc99128	0.4859
loc632108	0.5084
loc774870	0.5321
loc755174	0.4911
loc236783	0.5560
loc437007	0.5157
loc366384	0.5521
loc611178	0.5160
loc639979	0.5335
loc520435	0.5380
loc131645	0.4487
loc293562	0.5074
loc90039	0.5353
loc226271	0.6179
loc247208	0.5756
loc162187	0.6149
loc56847	0.5053
loc339739	0.4613
loc492554	0.4997
loc252513	0.4375
loc881348	0.5715
loc867307	0.4351
loc819710	0.5439
loc114596	0.4012
loc187007	0.5716
loc587180	0.4316
loc716774	0.5270
loc706250	0.4767
loc652688	0.5159
loc720292	0.3917
loc412648	0.5620
loc451505	0.5355
loc157334	0.4320
loc366844	0.4224
loc786173	0.5259
loc525194	0.5379
loc420050	0.3808
loc661872	0.4517
loc324007	0.6029
loc608980	0.5107
loc123785	0.5239
loc82179	0.5813
loc791477	0.5276
loc479392	0.5965
loc814505	0.4549
loc738586	0.3877
loc420058	0.4903
loc205794	0.5452
loc193183	0.4486
loc725969	0.4710
loc569716	0.6038
loc134209	0.5728
loc795364	0.3619
loc230256	0.5548
loc234133	0.5770
loc159995	0.5149
loc754307	0.5114
loc216219	0.4847
loc799245	0.6255
loc754309	0.4355
loc152139	0.5270
loc248539	0.6136
loc592944	0.4691
loc280498	0.5846
loc823702	0.5645
loc592948	0.4902
loc303530	0.5159
loc122465	0.5541
loc465450	0.5550
loc122467	0.5016
loc355008	0.5490
loc369408	0.5566
loc502520	0.4891
loc154786	0.5598
loc872163	0.5109
loc218875	0.5945
loc374710	0.5996
loc630881	0.2925
loc175729	0.5962
loc873946	0.5235
loc451058	0.5491
loc502526	0.4810
loc714127	0.4978
loc837192	0.5427
loc243337	0.5317
loc806658	0.5999
loc759066	0.4928
loc421383	0.5921
loc615068	0.4527
loc435784	0.5103
loc863433	0.5475
loc828453	0.5122
loc538725	0.5084
loc487262	0.5541
loc712896	0.4840
loc877838	0.4806
loc801443	0.5997
loc652694	0.5043
loc300971	0.5664
loc444972	0.4607
loc51640	0.5975
loc166085	0.5188
loc819726	0.5313
loc105871	0.6720
loc451517	0.5392
loc217557	0.5186
loc327998	0.4854
loc324013	0.4403
loc656583	0.5489
loc601122	0.5249
loc447075	0.4545
loc745124	0.6011
loc317480	0.3408
loc602912	0.5364
loc448865	0.5450
loc304865	0.5819
loc647850	0.6106
loc605010	0.4845
loc420068	0.4578
loc537408	0.5654
loc420069	0.4684
loc868199	0.5684
loc466788	0.3946
loc846840	0.5450
loc378140	0.4774
loc73458	0.5870
loc91376	0.5669
loc818402	0.5699
loc234143	0.5409
loc198860	0.5581
loc378145	0.5473
loc542718	0.4086
loc683696	0.6551
loc573255	0.4713
loc559214	0.4641
loc171843	0.4763
loc82640	0.5624
loc456277	0.4769
loc447532	0.4896
loc818409	0.3929
loc461574	0.4617
loc591177	0.4089
loc461578	0.5589
loc235937	0.4980
loc253854	0.4196
loc175731	0.5501
loc628608	0.5521
loc493899	0.5152
loc211017	0.4594
loc239817	0.4592
loc434926	0.4439
loc420526	0.5618
loc416082	0.5258
loc831111	0.6045
loc374720	0.4504
loc416085	0.5640
loc858133	0.4208
loc353782	0.4850
loc615070	0.4840
loc451067	0.5387
loc73915	0.3652
loc465468	0.5074
loc756977	0.4522
loc795834	0.5302
loc573711	0.4950
loc148160	0.4682
loc650058	0.4699
loc364206	0.5483
loc407354	0.5248
loc832908	0.5622
loc435797	0.5334
loc280967	0.6018
loc55088	0.5240
loc492573	0.5008
loc187025	0.4740
loc188806	0.4979
loc231596	0.5038
loc430580	0.4890
loc270452	0.4783
loc249881	0.3827
loc140859	0.4626
loc365083	0.5953
loc601131	0.4973
loc727218	0.5500
loc682830	0.5217
loc407811	0.6100
loc69940	0.5007
loc681053	0.4368
loc615537	0.4763
loc274345	0.4461
loc116304	0.4890
loc810646	0.4558
loc602922	0.5216
loc736400	0.6255
loc801910	0.4486
loc800127	0.5420
loc763064	0.5541
loc244673	0.5461
loc392190	0.5251
loc782763	0.5525
loc647867	0.5574
loc510406	0.5498
loc339296	0.5378
loc633469	0.5168
loc559221	0.4001
loc665788	0.4630
loc429622	0.4951
loc276997	0.5448
loc425749	0.5616
loc297937	0.5326
loc408690	0.5739
loc610335	0.4748
loc559227	0.3182
loc560649	0.5324
loc461585	0.5370
loc383462	0.5315
loc871319	0.3960
loc486406	0.4098
loc211028	0.5557
loc698012	0.4972
loc578937	0.5112
loc633922	0.5371
loc554015	0.4315
loc806673	0.4725
loc880508	0.5819
loc52989	0.5609
loc229317	0.5657
loc602470	0.4560
loc664468	0.6056
loc392656	0.5289
loc577601	0.5073
loc881373	0.5261
loc718036	0.4734
loc867333	0.5225
loc279558	0.5752
loc187035	0.5110
loc46356	0.4375
loc121164	0.3876
loc412672	0.4568
loc833781	0.5960
loc645213	0.6698
loc238509	0.5028
loc876520	0.5606
loc710729	0.4799
loc269049	0.6093
loc585013	0.5108
loc203179	0.4825
loc649102	0.5416
loc126837	0.5154
loc841190	0.4245
loc366879	0.4774
loc89106	0.4433
loc86083	0.5375
loc784002	0.4559
loc681063	0.5895
loc325823	0.5176
loc523024	0.5076
loc764850	0.5324
loc869996	0.5613
loc60852	0.4943
loc55558	0.4276
loc148638	0.5514
loc226766	0.4781
loc378160	0.4943
loc283541	0.5529
loc524819	0.4104
loc388688	0.4090
loc701084	0.5387
loc111104	0.5732
loc672339	0.4442
loc269506	0.5344
loc117188	0.5084
loc117189	0.4258
loc139908	0.4786
loc390006	0.4922
loc170089	0.5525
loc447557	0.5565
loc235959	0.5553
loc387351	0.5439
loc875208	0.4385
loc252097	0.5026
loc791966	0.6182
loc578945	0.5186
loc355037	0.5733
loc671001	0.4829
loc161355	0.5279
loc211039	0.5085
loc806680	0.5420
loc335885	0.3902
loc685408	0.5190
loc451089	0.5433
loc103240	0.4898
loc701543	0.4906
loc690712	0.5519
loc113769	0.5491
loc814082	0.4215
loc746482	0.5447
loc701547	0.4886
loc234630	0.3546
loc442356	0.5364
loc148185	0.6675
loc641341	0.5491
loc149970	0.4121
loc877868	0.6028
loc655743	0.4586
loc836808	0.5576
loc149972	0.6408
loc85220	0.5104
loc776600	0.5841
loc316637	0.5822
loc790642	0.4943
loc737746	0.4777
loc81347	0.4349
loc627308	0.4524
loc790647	0.5450
loc348962	0.4634
loc125056	0.5667
loc297498	0.4777
loc469821	0.5505
loc167899	0.4553
loc78695	0.4968
loc441022	0.4424
loc402170	0.5878
loc366883	0.5080
loc423107	0.5200
loc872657	0.6255
loc586807	0.5078
loc468048	0.5371
loc222889	0.5519
loc406052	0.5100
loc304895	0.5228
loc27121	0.4996
loc265623	0.5062
loc247708	0.5180
loc880061	0.5229
loc569755	0.4206
loc510422	0.5573
loc442819	0.4981
loc388691	0.5731
loc503884	0.5642
loc605045	0.4711
loc216254	0.5484
loc867807	0.4791
loc524828	0.5144
loc117192	0.5311
loc722029	0.5512
loc524829	0.4803
loc443681	0.4864
loc793205	0.4683
loc511290	0.5717
loc310101	0.5074
loc235962	0.3994
loc352943	0.4853
loc170096	0.4953
loc184497	0.6319
loc737293	0.4782
loc369440	0.5928
loc864799	0.5525
loc632150	0.5478
loc369442	0.5226
loc499046	0.5325
loc710284	0.4175
loc777941	0.5227
loc879102	0.4763
loc364237	0.5135
loc170554	0.5825
loc152638	0.5424
loc415706	0.5325
loc383941	0.5829
loc511756	0.5667
loc206209	0.3433
loc85234	0.4505
loc67318	0.5591
loc51680	0.5722
loc157381	0.4531
loc691598	0.5106
loc126852	0.5788
loc677558	0.5204
loc831607	0.4494
loc356371	0.5100
loc112455	0.5113
loc872669	0.5548
loc520945	0.4403
loc178329	0.5090
loc116332	0.5636
loc90546	0.3980
loc848110	0.4101
loc668824	0.5484
loc432300	0.5139
loc130379	0.5618
loc867811	0.4911
loc828956	0.4681
loc343764	0.5241
loc777493	0.5850
loc265637	0.5275
loc576305	0.4977
loc491285	0.5010
loc242502	0.5141
loc832486	0.6001
loc694152	0.5190
loc112912	0.4109
loc454113	0.4427
loc713309	0.4367
loc496958	0.4626
loc854290	0.5412
loc776162	0.4307
loc745627	0.5822
loc387371	0.4638
loc809717	0.5768
loc537906	0.4790
loc590803	0.4456
loc314003	0.5171
loc650090	0.4953
loc463304	0.4935
loc268200	0.4756
loc456770	0.5248
loc668371	0.5870
loc378643	0.5517
loc477708	0.5321
loc142122	0.5613
loc401314	0.4612
loc591672	0.5911
loc117668	0.4619
loc220253	0.4526
loc266970	0.5107
loc312779	0.4847
loc485110	0.5789
loc719848	0.5329
loc252572	0.5574
loc705449	0.5331
loc143913	0.5086
loc826311	0.5079
loc698501	0.6489
loc595562	0.5052
loc469840	0.5205
loc451565	0.5415
loc161839	0.4836
loc567129	0.4556
loc844239	0.6459
loc505134	0.4559
loc89135	0.5567
loc876556	0.5287
loc809263	0.4399
loc274384	0.4924
loc704126	0.6007
loc491291	0.5235
loc343775	0.4095
loc619463	0.5238
loc81825	0.5163
loc631300	0.5377
loc881867	0.5356
loc846890	0.5123
loc590359	0.4259
loc510446	0.5877
loc187526	0.4135
loc187527	0.4475
loc138151	0.4807
loc216276	0.5694
loc125531	0.4946
loc386513	0.3713
loc789706	0.4979
loc319222	0.4970
loc501708	0.5774
loc64773	0.5697
loc188394	0.4411
loc157859	0.5624
loc536130	0.5379
loc259024	0.5825
loc161382	0.5035
loc311914	0.5490
loc601643	0.5075
loc120323	0.6223
loc246408	0.4747
loc179660	0.5187
loc791999	0.5336
loc463317	0.5557
loc346337	0.4819
loc795887	0.5175
loc636067	0.3505
loc545322	0.6998
loc378655	0.4572
loc415723	0.4169
loc871812	0.4666
loc378657	0.5256
loc117678	0.5570
loc694622	0.5306
loc577642	0.4987
loc818919	0.5912
loc478580	0.5236
loc723373	0.4461
loc478581	0.5095
loc446265	0.4309
loc355521	0.3845
loc737775	0.5818
loc143923	0.6186
loc383965	0.4750
loc348990	0.4797
loc139483	0.5266
loc122989	0.5548
loc700240	0.5743
loc645257	0.5662
loc277405	0.4740
loc581177	0.4687
loc338473	0.4056
loc663179	0.5537
loc103734	0.4532
loc55591	0.4976
loc771424	0.4695
loc590361	0.4582
loc406085	0.5769
loc130399	0.5049
loc590365	0.5429
loc594246	0.5150
loc581631	0.4093
loc631316	0.5164
loc713323	0.5077
loc50384	0.4737
loc390044	0.5858
loc203676	0.4735
loc50385	0.4986
loc379993	0.5291
loc235995	0.5253
loc731243	0.4583
loc379996	0.5384
loc823772	0.6059
loc776180	0.5932
loc260453	0.4571
loc337159	0.4486
loc845572	0.4199
loc438865	0.4951
loc315805	0.5793
loc870030	0.3936
loc753050	0.5207
loc831177	0.6035
loc777978	0.5149
loc651895	0.5085
loc450706	0.5459
loc346346	0.4338
loc124221	0.5972
loc580307	0.4864
loc676713	0.4771
loc364266	0.3970
loc767459	0.5226
loc170584	0.5766
loc818928	0.4606
loc850886	0.4430
loc35025	0.5523
loc610847	0.5735
loc174464	0.6205
loc387852	0.5282
loc437541	0.4966
loc472519	0.5415
loc423142	0.4716
loc854776	0.5179
loc522207	0.5193
loc306163	0.4395
loc165733	0.5877
loc650570	0.5854
loc269099	0.5194
loc766130	0.5138
loc192396	0.5123
loc346803	0.5841
loc63912	0.5254
loc814580	0.4821
loc615597	0.4270
loc767917	0.4283
loc781959	0.5026
loc667074	0.4622
loc817606	0.6293
loc814584	0.4475
loc523076	0.5244
loc510460	0.6773
loc148685	0.5540
loc187540	0.5239
loc428817	0.4627
loc563715	0.4977
loc450251	0.4918
loc645721	0.4242
loc789723	0.5328
loc320660	0.4083
loc686788	0.5025
loc624791	0.5295
loc150011	0.4969
loc818477	0.5107
loc581647	0.5709
loc454142	0.5128
loc159118	0.5476
loc94910	0.4641
loc635217	0.5367
loc363405	0.5134
loc653134	0.5510
loc601664	0.6423
loc431011	0.5955
loc717224	0.5909
loc654917	0.5736
loc233809	0.5552
loc551979	0.5679
loc510923	0.4797
loc301415	0.4017
loc173603	0.4437
loc845585	0.5398
loc619944	0.5123
loc103292	0.4802
loc735149	0.5292
loc701593	0.5607
loc532720	0.5775
loc319700	0.5047
loc715995	0.5241
loc247296	0.4081
loc644409	0.5538
loc319704	0.5585
loc234681	0.4415
loc49433	0.4428
loc111618	0.5006
loc822455	0.5130
loc705475	0.5012
loc184996	0.5112
loc81392	0.5354
loc598603	0.5009
loc160072	0.5657
loc454605	0.5360
loc225941	0.5308
loc536611	0.5747
loc146043	0.4658
loc263023	0.4449
loc536617	0.4249
loc515678	0.6307
loc151341	0.6202
loc451595	0.5581
loc663196	0.4298
loc394408	0.4664
loc437557	0.4352
loc89161	0.5219
loc636541	0.5367
loc89162	0.4834
loc506942	0.6015
loc586856	0.5358
loc489035	0.3735
loc767924	0.4150
loc295349	0.5892
loc332416	0.5897
loc311482	0.4612
loc814591	0.4649
loc190208	0.5133
loc784065	0.5927
loc718553	0.5348
loc867850	0.5211
loc688026	0.4393
loc233359	0.5962
loc59491	0.5335
loc174933	0.4307
loc206706	0.5413
loc528751	0.4861
loc368623	0.5314
loc276100	0.4120
loc418313	0.5111
loc382667	0.5506
loc672397	0.5265
loc645736	0.5213
loc581654	0.4280
loc559294	0.5507
loc415295	0.5206
loc150023	0.5076
loc146507	0.4763
loc741785	0.5378
loc839429	0.4347
loc752200	0.5206
loc532278	0.5364
loc273086	0.5285
loc150028	0.4216
loc402685	0.5172
loc766605	0.4874
loc635226	0.4929
loc89628	0.4919
loc862649	0.5205
loc225499	0.5414
loc296671	0.5090
loc880575	0.5565
loc445426	0.5084
loc168318	0.5516
loc395739	0.5732
loc106322	0.4842
loc473869	0.5507
loc445428	0.3742
loc237706	0.5124
loc84416	0.6179
loc532732	0.5660
loc268244	0.4475
loc514817	0.4804
loc378686	0.5557
loc224170	0.4388
loc341151	0.4776
loc797600	0.4985
loc389112	0.5008
loc342933	0.5340
loc383994	0.6259
loc731728	0.5254
loc129915	0.5819
loc394413	0.4814
loc108979	0.5896
loc879611	0.4958
loc582985	0.4793
loc572460	0.4684
loc568944	0.4214
loc865212	0.5750
loc567166	0.6557
loc116380	0.5790
loc350340	0.5038
loc588109	0.4789
loc455489	0.3979
loc523093	0.4664
loc442873	0.4742
loc311494	0.5390
loc377366	0.4359
loc302750	0.5789
loc744801	0.5418
loc382671	0.4746
loc874403	0.5192
loc333293	0.5370
loc670202	0.5075
loc571140	0.5304
loc825039	0.4189
loc745673	0.4625
loc455947	0.5389
loc363423	0.4208
loc489508	0.4933
loc875278	0.4768
loc816304	0.4685
loc653154	0.5629
loc541470	0.5068
loc285302	0.5721
loc141302	0.6163
loc311956	0.5828
loc431035	0.4468
loc698097	0.4928
loc450732	0.5035
loc328456	0.5363
loc381349	0.5149
loc554099	0.5972
loc364294	0.4608
loc415765	0.4741
loc838118	0.5245
loc227201	0.4626
loc662348	0.3276
loc422307	0.4581
loc160092	0.4555
loc713816	0.5580
loc648312	0.5177
loc93610	0.4626
loc797610	0.5563
loc789291	0.5437
loc789293	0.5936
loc93613	0.4774
loc808445	0.5118
loc423171	0.4521
loc238588	0.5951
loc232509	0.5707
loc264826	0.5413
loc387889	0.5552
loc735624	0.3744
loc879625	0.5845
loc865228	0.5184
loc124711	0.4257
loc360878	0.5156
loc572479	0.5036
loc448001	0.5313
loc661023	0.5488
loc448004	0.4684
loc336323	0.5057
loc382681	0.4908
loc606895	0.5146
loc128601	0.5124
loc613435	0.5487
loc323708	0.4272
loc341624	0.4677
loc125581	0.5426
loc128605	0.5432
loc485628	0.4777
loc663673	0.3920
loc372167	0.5020
loc393109	0.5393
loc358132	0.5662
loc727766	0.6062
loc274894	0.5394
loc345519	0.5557
loc784544	0.5200
loc260498	0.4532
loc667568	0.4342
loc879172	0.3897
loc685485	0.5725
loc381357	0.5164
loc395757	0.5525
loc879174	0.4948
loc870071	0.4202
loc775811	0.6156
loc484304	0.5212
loc210704	0.5462
loc346386	0.4387
loc340305	0.4364
loc219809	0.5599
loc767496	0.5107
loc672876	0.4225
loc305332	0.4740
loc433690	0.4817
loc433692	0.5450
loc294504	0.5331
loc449337	0.4952
loc836888	0.4764
loc211571	0.5740
loc454636	0.4438
loc776682	0.5218
loc744366	0.5149
loc108995	0.4078
loc765307	0.4735
loc437580	0.4575
loc431500	0.5696
loc115539	0.6201
loc632689	0.5515
loc291497	0.5561
loc423185	0.5027
loc586882	0.5439
loc831675	0.5087
loc201063	0.5267
loc332447	0.4643
loc688052	0.5898
loc241704	0.5725
loc142641	0.6047
loc784095	0.6154
loc705963	0.5143
loc427075	0.4820
loc739523	0.5064
loc675436	0.6218
loc401836	0.4974
loc176203	0.5932
loc640099	0.4936
loc220775	0.5680
loc142647	0.4044
loc860023	0.4936
loc210252	0.3903
loc503004	0.4872
loc693359	0.4995
loc382695	0.4137
loc242571	0.5053
loc393110	0.5477
loc423640	0.4544
loc87009	0.6179
loc844751	0.4468
loc277917	0.5021
loc598183	0.5448
loc727776	0.4795
loc295836	0.5601
loc468585	0.4481
loc214144	0.3725
loc123400	0.4511
loc572948	0.5584
loc406593	0.4632
loc608600	0.4135
loc821622	0.5589
loc391889	0.4553
loc704645	0.5375
loc141327	0.5205
loc367332	0.4646
loc106352	0.5270
loc79145	0.4496
loc450755	0.4960
loc241250	0.5654
loc839910	0.4597
loc672885	0.6052
loc346398	0.5252
loc811114	0.4369
loc712050	0.4076
loc676764	0.5613
loc739073	0.4604
loc856055	0.5081
loc712055	0.4304
loc294516	0.5516
loc857838	0.4903
loc739078	0.4949
loc499584	0.5325
loc260968	0.5361
loc554572	0.5378
loc147865	0.6373
loc277466	0.5888
loc748262	0.5591
loc236411	0.4958
loc409161	0.5752
loc707210	0.5182
loc774505	0.5118
loc409165	0.5046
loc62187	0.4684
loc350376	0.5196
loc241716	0.5822
loc377397	0.5608
loc401845	0.5823
loc110338	0.5085
loc849975	0.5843
loc584703	0.5073
loc446785	0.4481
loc220785	0.5634
loc627854	0.5526
loc600834	0.4474
loc517413	0.5820
loc647014	0.4495
loc485643	0.5797
loc242580	0.5717
loc195916	0.3961
loc81898	0.5864
loc373963	0.4934
loc393123	0.4993
loc436274	0.4332
loc151842	0.4661
loc700765	0.5035
loc663698	0.5378
loc454193	0.5600
loc649661	0.4962
loc409621	0.5797
loc592117	0.5106
loc89666	0.4908
loc667582	0.4672
loc102474	0.5791
loc635267	0.5699
loc246475	0.4874
loc233856	0.5184
loc137816	0.5281
loc232077	0.4396
loc834253	0.4621
loc537988	0.4356
loc770169	0.6101
loc173655	0.6623
loc590889	0.6111
loc527473	0.4047
loc879199	0.5639
loc852179	0.5529
loc793751	0.5532
loc712060	0.6037
loc683312	0.5172
loc609480	0.5441
loc713841	0.4611
loc571630	0.4141
loc793756	0.5214
loc255668	0.3564
loc811128	0.3752
loc369990	0.4869
loc260973	0.4031
loc518745	0.4739
loc246933	0.5855
loc731767	0.5554
loc648346	0.5671
loc128178	0.5786
loc687206	0.4715
loc263076	0.5419
loc79611	0.4127
loc831695	0.4953
loc65215	0.6398
loc625215	0.5619
loc483003	0.5130
loc172336	0.6059
loc346866	0.5812
loc83136	0.4821
loc760116	0.5225
loc545852	0.6674
loc821182	0.4611
loc467730	0.4629
loc576392	0.4565
