scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
NW_006803925.1,322199,3277411,1943747,110,105,0.4223,0.542,-0.1241,-0.0068,-0.0052
NW_006803925.1,687767,3549856,2212964,110,105,0.4067,0.542,-0.1426,-0.0085,-0.0061
NW_006803925.1,950335,3721676,2474693,110,105,0.4296,0.5397,-0.1135,-0.0065,-0.0049
NW_006803925.1,1339387,4108901,2728104,110,105,1.512,0.1602,0.8084,0.075,0.0586
NW_006803925.1,1653047,4492721,2988269,110,106,1.512,0.1621,0.8063,0.0713,0.0557
NW_006803925.1,1923356,4886119,3252478,110,107,1.3993,0.2473,0.6996,0.0588,0.045
NW_006803925.1,2238098,5149373,3522857,110,108,1.2296,0.2089,0.7096,0.0574,0.0449
NW_006803925.1,2453185,5492057,3791949,110,109,1.2359,0.2089,0.7108,0.0586,0.0468
NW_006803925.1,2686706,5765329,4072208,110,107,1.2666,0.2077,0.7183,0.0683,0.0498
NW_006803925.1,2852963,6024460,4356719,110,107,1.3433,0.2077,0.7322,0.0815,0.0582
NW_006803925.1,3008131,6284291,4649416,110,108,1.3687,0.2077,0.7365,0.0681,0.0484
NW_006803925.1,3327252,6606608,4954045,110,108,1.3796,1.1167,0.1053,0.0165,0.0114
NW_006803925.1,3595897,6992053,5258588,110,108,1.385,1.7854,-0.1263,-0.0255,-0.0176
NW_006803925.1,3739536,7114981,5566382,110,108,1.4931,1.7854,-0.0892,-0.0219,-0.0143
NW_006803925.1,4119418,7479740,5882789,110,108,0.4107,1.7608,-0.6218,-0.1169,-0.0702
NW_006803925.1,4513444,7856648,6189264,110,108,0.4107,1.759,-0.6214,-0.1265,-0.0724
NW_006803925.1,4929437,8030205,6485354,110,108,0.3556,1.6737,-0.6495,-0.1221,-0.0722
NW_006803925.1,5156094,8235015,6766612,110,108,0.3799,2.5487,-0.7406,-0.2061,-0.1134
NW_006803925.1,5521226,8445406,7039578,110,108,0.3736,2.5487,-0.7443,-0.1917,-0.1104
NW_006803925.1,5773914,8727761,7311136,110,110,0.3361,2.5487,-0.767,-0.1788,-0.1117
NW_006803925.1,6059061,8930654,7579621,110,110,0.2266,2.5487,-0.8367,-0.1756,-0.1045
NW_006803925.1,6298364,9372851,7848409,110,110,0.2512,4.5487,-0.8953,-0.413,-0.2128
NW_006803925.1,6606888,9732542,8127231,110,110,1.2634,3.9396,-0.5144,-0.2116,-0.1196
NW_006803925.1,6996609,10085882,8410172,110,110,1.2381,3.4147,-0.4678,-0.1709,-0.0965
NW_006803925.1,7229623,10305738,8697589,110,110,1.1071,3.4147,-0.5103,-0.1799,-0.1021
NW_006803925.1,7480029,10530973,8974733,110,110,1.1573,3.3188,-0.4829,-0.1655,-0.0983
NW_006803925.1,7917835,10951199,9258059,110,110,1.1573,3.3187,-0.4829,-0.1454,-0.0931
NW_006803925.1,8032026,11279814,9546040,110,110,1.4098,3.3188,-0.4037,-0.1291,-0.0813
NW_006803925.1,8235971,11707257,9849032,110,110,1.5677,2.4438,-0.2184,-0.0528,-0.0358
NW_006803925.1,8489160,11894899,10164339,110,110,1.6049,3.1339,-0.3227,-0.0964,-0.0635
NW_006803925.1,8747946,12296181,10482309,110,110,1.8941,3.1339,-0.2466,-0.0825,-0.0544
NW_006803925.1,8968200,12525016,10808146,110,110,1.9059,3.3426,-0.2737,-0.0954,-0.0672
NW_006803925.1,9391691,12744898,11130292,110,110,1.9014,1.387,0.1564,0.032,0.0247
NW_006803925.1,9769665,13115410,11445499,110,110,0.9116,1.0883,-0.0884,-0.0111,-0.0091
NW_006803925.1,10100364,13510192,11753650,110,110,1.0782,0.9574,0.0594,0.007,0.0057
NW_006803925.1,10342018,13807234,12074647,110,110,1.0782,0.9762,0.0497,0.0057,0.0046
NW_006803925.1,10596989,14080430,12393987,110,110,1.028,0.9762,0.0259,0.0027,0.0022
NW_006803925.1,10977874,14382857,12705634,110,110,1.028,0.9762,0.0259,0.0026,0.0022
NW_006803925.1,11296679,14785910,13010415,110,110,0.8756,1.0025,-0.0676,-0.007,-0.0058
NW_006803925.1,11712511,15148441,13324735,110,110,0.7559,1.0217,-0.1495,-0.0155,-0.0121
NW_006803925.1,11940051,15518557,13648422,110,110,1.8086,0.5816,0.5134,0.062,0.0482
NW_006803925.1,12299718,15802911,13973457,110,110,2.5648,0.5816,0.6303,0.0954,0.075
NW_006803925.1,12584593,15998940,14230291,106,106,2.5737,0.3729,0.7469,0.105,0.0777
NW_006803926.1,108017,2314848,1333736,110,107,1.1413,2.0903,-0.2937,-0.1104,-0.0572
NW_006803926.1,258076,2494288,1534911,110,107,1.1091,2.1565,-0.3207,-0.1001,-0.0577
NW_006803926.1,530983,2826208,1737610,110,107,1.1091,1.1565,-0.0209,-0.0044,-0.0028
NW_006803926.1,820054,3051386,1946093,110,107,1.1354,1.1386,-0.0014,-0.0003,-0.0002
NW_006803926.1,1038521,3201025,2146132,110,107,1.5092,1.1386,0.14,0.0322,0.0228
NW_006803926.1,1230182,3623039,2349268,110,107,1.7592,0.172,0.8219,0.1474,0.1093
NW_006803926.1,1575891,3873064,2566273,110,107,1.5092,0.122,0.8505,0.1246,0.0871
NW_006803926.1,1711248,4038731,2778677,110,106,1.5349,0.1671,0.8037,0.115,0.0925
NW_006803926.1,1966522,4308065,2985623,110,106,2.5213,0.257,0.815,0.1598,0.1335
NW_006803926.1,2113720,4529329,3203006,110,108,2.1905,0.2276,0.8118,0.1444,0.1149
NW_006803926.1,2218158,4809534,3433140,110,108,3.1455,0.2276,0.8651,0.177,0.1391
NW_006803926.1,2317819,4997986,3676176,110,108,3.0205,0.2296,0.8587,0.1662,0.1284
NW_006803926.1,2502241,5313314,3930439,110,109,3.1455,0.1633,0.9013,0.207,0.1496
NW_006803926.1,2851561,5559147,4182070,110,108,3.1455,0.2145,0.8723,0.2249,0.1553
NW_006803926.1,3063240,5727426,4428076,110,108,3.4692,0.2145,0.8835,0.2408,0.1686
NW_006803926.1,3203811,5883195,4672840,110,108,2.7255,0.2812,0.813,0.1672,0.1192
NW_006803926.1,3646563,6124833,4912956,110,107,2.4755,0.2812,0.796,0.1536,0.1081
NW_006803926.1,3885086,6376453,5142354,110,107,2.4755,0.2812,0.796,0.1615,0.1226
NW_006803926.1,4041837,6673080,5377885,110,108,2.5499,0.2098,0.848,0.1633,0.1273
NW_006803926.1,4323185,6743832,5610515,110,107,1.5635,0.1199,0.8576,0.1106,0.0846
NW_006803926.1,4554706,6883834,5828445,110,107,1.5635,0.1199,0.8576,0.1163,0.0923
NW_006803926.1,4840027,6996915,6032818,110,107,0.6436,0.1199,0.686,0.0445,0.0375
NW_006803926.1,5005107,7255547,6232769,110,107,0.6793,0.1181,0.7039,0.0449,0.0367
NW_006803926.1,5321993,7409355,6429970,110,106,0.5543,0.1181,0.6488,0.033,0.0263
NW_006803926.1,5579914,7618195,6620539,110,107,1.8043,0.0669,0.9285,0.1173,0.0971
NW_006803926.1,5728518,7941795,6814313,110,107,1.4573,0.0669,0.9123,0.0967,0.0739
NW_006803926.1,5926335,8216513,7023366,110,107,1.4272,0.0233,0.9679,0.1195,0.0853
NW_006803926.1,6170376,8505424,7240499,110,108,1.4272,0.0389,0.9469,0.1124,0.0807
NW_006803926.1,6432249,8760963,7453897,110,108,1.4272,0.0389,0.9469,0.1221,0.0873
NW_006803926.1,6682928,9070174,7667474,110,108,1.3272,0.1121,0.8442,0.1117,0.073
NW_006803926.1,6747385,9232046,7889600,110,107,1.3272,0.1836,0.757,0.1158,0.0735
NW_006803926.1,6887720,9457265,8122241,110,107,1.3848,0.2219,0.7238,0.096,0.0644
NW_006803926.1,7029214,9722053,8364973,110,107,1.3848,0.2219,0.7238,0.1068,0.0675
NW_006803926.1,7275431,9948698,8609725,110,107,1.3865,0.2217,0.7243,0.1094,0.0725
NW_006803926.1,7438442,10135169,8852498,110,108,1.3865,0.2217,0.7243,0.1035,0.0746
NW_006803926.1,7653860,10395740,9104981,110,107,0.1698,0.2467,-0.1846,-0.0068,-0.0049
NW_006803926.1,7959145,10593199,9351646,110,107,1.1391,0.7154,0.2284,0.0373,0.0249
NW_006803926.1,8239220,10815517,9589243,110,107,1.1391,0.6924,0.2439,0.0334,0.0235
NW_006803926.1,8511911,10968120,9816741,110,107,1.2224,0.7601,0.2332,0.0315,0.0226
NW_006803926.1,8775258,11133307,10033195,110,107,1.2224,0.8123,0.2015,0.0281,0.0193
NW_006803926.1,9094941,11363285,10249627,110,107,1.2224,0.7391,0.2464,0.0355,0.0252
NW_006803926.1,9254672,11533193,10458964,110,109,1.2224,0.6677,0.2935,0.0371,0.0272
NW_006803926.1,9504881,11707633,10663589,110,109,1.17,0.7544,0.216,0.0277,0.0201
NW_006803926.1,9741975,11982949,10870752,110,109,1.2315,0.7544,0.2403,0.0319,0.0225
NW_006803926.1,9955390,12126646,11073666,110,109,1.2326,0.7544,0.2407,0.0335,0.0226
NW_006803926.1,10220305,12387172,11278798,110,109,1.2534,0.7838,0.2305,0.0351,0.0224
NW_006803926.1,10436086,12597394,11478506,110,110,1.3173,0.814,0.2361,0.0394,0.0243
NW_006803926.1,10635889,12883610,11680637,110,110,0.3451,0.3453,-0.0003,-0.0,-0.0
NW_006803926.1,10821399,13065190,11884822,110,110,1.0951,0.3453,0.5206,0.07,0.0448
NW_006803926.1,10968447,13275604,12090334,110,110,1.0117,1.2619,-0.11,-0.0282,-0.0161
NW_006803926.1,11162801,13513408,12312138,110,110,1.0117,1.2391,-0.101,-0.0255,-0.0154
NW_006803926.1,11371558,13685675,12523752,110,110,1.3867,1.2391,0.0562,0.0144,0.009
NW_006803926.1,11573162,13996400,12742871,110,110,1.3867,1.3141,0.0269,0.0074,0.0042
NW_006803926.1,11731049,14361850,12977136,110,110,1.8953,1.1891,0.229,0.0751,0.0405
NW_006803926.1,12004915,14643462,13216540,110,110,1.7953,1.1891,0.2031,0.065,0.0361
NW_006803926.1,12206504,14799566,13457649,110,110,1.7568,1.1891,0.1927,0.0702,0.0382
NW_006803926.1,12405736,15100168,13665211,107,107,1.7615,1.1618,0.2051,0.0714,0.0417
NW_006803927.1,26868,2750486,1343511,110,108,1.4139,1.1746,0.0925,0.0166,0.0123
NW_006803927.1,194452,2936765,1596043,110,108,2.3351,1.1709,0.332,0.0767,0.0607
NW_006803927.1,377727,3101730,1845573,110,108,4.4512,1.2142,0.5714,0.1751,0.1543
NW_006803927.1,659705,3304464,2089878,110,108,4.5512,1.2142,0.5788,0.189,0.1661
NW_006803927.1,945296,3463695,2330209,110,110,4.504,0.2083,0.9116,0.2473,0.2265
NW_006803927.1,1201102,3839120,2558785,110,110,5.3692,0.2083,0.9253,0.283,0.268
NW_006803927.1,1482704,4025564,2797771,110,110,5.3992,0.3049,0.8931,0.2721,0.2561
NW_006803927.1,1804075,4165343,3024231,110,110,5.3992,1.2523,0.6235,0.2332,0.207
NW_006803927.1,1972110,4345730,3244340,110,109,4.3992,1.2523,0.5568,0.1621,0.1453
NW_006803927.1,2308861,4523298,3448902,110,109,4.3793,1.2675,0.5511,0.1692,0.1415
NW_006803927.1,2571717,4687574,3649564,110,109,4.3793,1.2675,0.5511,0.1772,0.143
NW_006803927.1,2765116,4834904,3840631,110,109,4.2673,1.1481,0.576,0.201,0.1603
NW_006803927.1,2943770,4975822,4027025,110,108,3.746,1.1027,0.5452,0.1746,0.1392
NW_006803927.1,3107849,5233755,4214145,110,106,1.63,1.6477,-0.0054,-0.0015,-0.0011
NW_006803927.1,3322771,5384203,4402758,110,106,1.53,1.6477,-0.037,-0.0093,-0.0069
NW_006803927.1,3486840,5603016,4594121,110,106,1.5685,1.6533,-0.0263,-0.0065,-0.0044
NW_006803927.1,3856056,5776730,4782650,110,106,0.6935,1.6825,-0.4163,-0.0769,-0.0503
NW_006803927.1,4029752,6018495,4955413,110,106,0.6643,1.6951,-0.4369,-0.0808,-0.0525
NW_006803927.1,4208175,6218389,5137671,110,106,0.6643,1.5863,-0.4097,-0.0753,-0.0479
NW_006803927.1,4346000,6376603,5320742,110,107,0.6643,1.5863,-0.4097,-0.0798,-0.0493
NW_006803927.1,4528462,6627651,5513135,110,107,0.7005,2.3665,-0.5432,-0.1365,-0.081
NW_006803927.1,4699245,6809704,5709356,110,107,1.6985,3.3665,-0.3293,-0.121,-0.0708
NW_006803927.1,4847902,6956070,5902960,110,107,1.6985,3.9299,-0.3964,-0.1527,-0.0885
NW_006803927.1,4987271,7212754,6100037,110,108,1.5804,4.9021,-0.5124,-0.2196,-0.1244
NW_006803927.1,5236500,7295056,6297314,110,110,1.5804,4.3138,-0.4637,-0.1756,-0.0986
NW_006803927.1,5386998,7556419,6491820,110,110,1.9573,4.3523,-0.3796,-0.1616,-0.0855
NW_006803927.1,5619547,7707187,6686232,110,110,1.9778,4.3573,-0.3756,-0.1606,-0.0875
NW_006803927.1,5784581,7900965,6876729,110,110,2.1028,5.2969,-0.4316,-0.2397,-0.1164
NW_006803927.1,6025487,8180757,7078502,110,110,2.1072,5.1876,-0.4223,-0.2243,-0.1114
NW_006803927.1,6221548,8375012,7278416,110,110,2.1546,4.3491,-0.3374,-0.145,-0.0787
NW_006803927.1,6395544,8538637,7475181,110,110,2.1546,4.3754,-0.3401,-0.1524,-0.0761
NW_006803927.1,6637298,8756167,7669186,110,110,2.0192,3.5867,-0.2796,-0.1078,-0.0593
NW_006803927.1,6850472,8874897,7858191,110,110,1.096,2.5867,-0.4048,-0.0893,-0.056
NW_006803927.1,7016729,9001039,8044301,110,110,1.2711,2.7333,-0.3652,-0.0782,-0.0496
NW_006803927.1,7219370,9233063,8225661,110,110,0.9892,1.7923,-0.2887,-0.0453,-0.0282
NW_006803927.1,7347007,9432196,8415988,110,110,0.9892,1.7923,-0.2887,-0.0445,-0.0291
NW_006803927.1,7557771,9709834,8613661,110,110,0.6123,2.1769,-0.561,-0.0906,-0.0574
NW_006803927.1,7715001,9929721,8811965,110,110,1.1629,2.1662,-0.3014,-0.0627,-0.0402
NW_006803927.1,7921933,10136143,9017092,110,109,0.9129,1.1975,-0.1348,-0.0181,-0.0128
NW_006803927.1,8225047,10411511,9216219,110,109,0.9077,1.1975,-0.1376,-0.0191,-0.0129
NW_006803927.1,8388395,10575287,9415561,110,109,0.8603,1.1975,-0.1639,-0.0229,-0.0147
NW_006803927.1,8565005,10917914,9625310,110,109,0.8603,2.1448,-0.4275,-0.0941,-0.0615
NW_006803927.1,8762474,11222187,9845546,110,108,1.8737,2.1379,-0.0659,-0.0192,-0.012
NW_006803927.1,8886988,11524889,10078304,110,108,2.225,2.1383,0.0198,0.0075,0.0043
NW_006803927.1,9012173,11962728,10327517,110,108,2.0856,1.4285,0.187,0.0642,0.0381
NW_006803927.1,9243260,12273855,10605305,110,108,2.0856,1.5266,0.1548,0.0576,0.0337
NW_006803927.1,9510322,12442793,10880379,110,108,2.0856,2.1537,-0.016,-0.0063,-0.0037
NW_006803927.1,9723820,12654864,11150899,110,107,2.0856,1.732,0.0926,0.029,0.0193
NW_006803927.1,9932394,12959361,11424412,110,107,1.476,1.732,-0.0798,-0.0203,-0.0137
NW_006803927.1,10136939,13342415,11708170,110,108,1.4877,2.6448,-0.28,-0.0787,-0.0536
NW_006803927.1,10414813,13538643,11995680,110,108,2.025,2.6448,-0.1327,-0.0371,-0.0265
NW_006803927.1,10590682,13781191,12285728,110,108,2.0497,2.6448,-0.1267,-0.0343,-0.0257
NW_006803927.1,10979191,14055565,12577210,110,108,2.0497,1.6723,0.1014,0.0201,0.0159
NW_006803927.1,11247396,14318945,12861310,110,109,2.3668,1.679,0.17,0.0341,0.0285
NW_006803927.1,11558610,14553172,13141409,110,109,1.9634,1.9147,0.0126,0.0025,0.002
NW_006803927.1,11999220,14909625,13385095,107,106,1.9277,2.9147,-0.2038,-0.0557,-0.042
NW_006803928.1,1627,2487121,1279920,110,110,0.1351,1.9833,-0.8725,-0.1418,-0.0918
NW_006803928.1,236279,2716102,1506176,110,110,0.1351,1.9833,-0.8725,-0.1314,-0.0897
NW_006803928.1,453972,3051710,1741205,110,110,1.1335,1.9833,-0.2727,-0.0473,-0.0362
NW_006803928.1,707676,3423776,1992396,110,110,1.1588,1.1742,-0.0066,-0.0007,-0.0006
NW_006803928.1,869607,3699616,2243985,110,110,1.1588,0.2159,0.6859,0.0434,0.0369
NW_006803928.1,1262888,3896829,2495482,110,110,1.6588,0.1909,0.7936,0.0681,0.058
NW_006803928.1,1496393,4125353,2735337,110,110,1.6588,0.1909,0.7936,0.07,0.0612
NW_006803928.1,1679763,4355784,2979301,110,110,2.1409,0.2341,0.8028,0.0861,0.0756
NW_006803928.1,1830591,4619313,3230733,110,109,2.143,0.2605,0.7833,0.0932,0.0778
NW_006803928.1,2142825,4814074,3479204,110,109,2.2407,0.8563,0.447,0.0641,0.0529
NW_006803928.1,2306012,5159686,3733343,110,109,2.1824,0.8563,0.4364,0.0588,0.0516
NW_006803928.1,2563799,5261812,3990564,110,109,2.1824,0.8563,0.4364,0.0716,0.0616
NW_006803928.1,2851537,5465897,4242917,110,109,2.2289,0.8566,0.4448,0.0723,0.0624
NW_006803928.1,3079014,5762014,4489147,110,109,1.3306,0.8566,0.2167,0.0293,0.0245
NW_006803928.1,3461630,6004166,4725566,110,108,1.8869,0.6657,0.4784,0.086,0.0711
NW_006803928.1,3699883,6386233,4966869,110,108,3.6081,1.8601,0.3197,0.1162,0.0905
NW_006803928.1,3913368,6710381,5218840,110,108,3.1081,2.8601,0.0415,0.016,0.0118
NW_006803928.1,4153731,6978170,5475795,110,108,3.1081,3.848,-0.1064,-0.049,-0.0331
NW_006803928.1,4363427,7280572,5739224,110,108,2.6509,3.8047,-0.1787,-0.0737,-0.0508
NW_006803928.1,4621708,7502200,6003058,110,109,2.6488,3.7784,-0.1757,-0.0677,-0.0496
NW_006803928.1,4874691,7682758,6266585,110,109,2.641,3.1883,-0.0939,-0.0331,-0.0248
NW_006803928.1,5172015,7814349,6515781,110,109,2.5744,3.1883,-0.1065,-0.0368,-0.0257
NW_006803928.1,5275142,8312147,6770838,110,108,2.5744,3.1883,-0.1065,-0.0336,-0.0235
NW_006803928.1,5484684,8512669,7049200,110,108,2.5335,3.188,-0.1144,-0.0337,-0.024
NW_006803928.1,5773813,8745978,7323753,110,108,2.489,3.188,-0.1231,-0.0327,-0.0241
NW_006803928.1,6037075,8948934,7593046,110,109,1.9074,3.2963,-0.2669,-0.0696,-0.0478
NW_006803928.1,6391694,9061027,7846790,110,109,0.8907,2.1256,-0.4094,-0.0646,-0.0458
NW_006803928.1,6717293,9364314,8082658,110,109,0.9817,1.1256,-0.0683,-0.0072,-0.0054
NW_006803928.1,7014014,9513468,8321135,110,109,0.9817,0.1377,0.754,0.0407,0.032
NW_006803928.1,7303811,9706672,8546372,110,109,0.9567,0.1377,0.7483,0.0437,0.0328
NW_006803928.1,7558974,9899313,8764498,110,109,1.0567,0.1377,0.7694,0.0429,0.0332
NW_006803928.1,7683072,10001628,8976318,110,109,0.9567,0.132,0.7575,0.0394,0.0302
NW_006803928.1,7856432,10153522,9187096,110,109,0.9567,0.1633,0.7084,0.0422,0.0314
NW_006803928.1,8368344,10460154,9395234,110,109,0.9567,0.1896,0.6692,0.0447,0.0333
NW_006803928.1,8549984,10939911,9607435,110,108,0.951,0.1896,0.6676,0.0479,0.0348
NW_006803928.1,8752574,11087303,9821867,110,108,0.8954,0.1896,0.6505,0.0516,0.0358
NW_006803928.1,8952266,11333584,10035984,110,108,0.9788,0.201,0.6592,0.0563,0.039
NW_006803928.1,9063928,11626237,10264991,110,108,1.2742,1.0211,0.1103,0.0171,0.0114
NW_006803928.1,9385642,11984960,10508556,110,108,1.2117,1.8625,-0.2117,-0.0478,-0.0302
NW_006803928.1,9550095,12215935,10751656,110,108,1.2117,1.8625,-0.2117,-0.0465,-0.0292
NW_006803928.1,9709581,12416908,10997449,110,108,1.5075,2.2018,-0.1872,-0.0486,-0.0312
NW_006803928.1,9903073,12695079,11250461,110,108,1.4075,2.2518,-0.2307,-0.0723,-0.0409
NW_006803928.1,10002217,12919288,11511288,110,108,1.6909,2.2739,-0.147,-0.0448,-0.0267
NW_006803928.1,10160886,13191879,11782715,110,108,2.7247,2.2426,0.097,0.0307,0.0208
NW_006803928.1,10562112,13563595,12066382,110,109,2.751,2.2618,0.0976,0.0259,0.018
NW_006803928.1,10944607,13657465,12248559,104,104,2.751,2.3015,0.089,0.025,0.0167
NW_006803929.1,3954,2174834,1274270,110,108,0.514,0.0806,0.729,0.0329,0.0295
NW_006803929.1,347955,2596622,1473571,110,108,0.514,0.0806,0.729,0.0278,0.0253
NW_006803929.1,643317,2755699,1674398,110,108,0.514,0.0806,0.729,0.0312,0.0279
