scaffold,start,end,mid,sites,pi_roumanicus,pi_europaeus,dxy_roumanicus_europaeus,Fst_roumanicus_europaeus
NW_006804200.1,862,2417577,1224327,110,0.0549,0.125,0.3856,0.6345
NW_006804208.1,23250,2867799,1253980,102,0.0577,0.09,0.4948,0.7445
NW_006804223.1,221723,2784479,1327962,110,0.0771,0.0934,0.4246,0.6655
NW_006804226.1,21922,2901027,1305255,109,0.0796,0.0904,0.4297,0.6684
NW_006804230.1,13493,2852862,1436923,107,0.0573,0.0871,0.4523,0.7288
NW_006804232.1,27361,2608031,1328823,110,0.0506,0.0979,0.3583,0.6659
NW_006804233.1,4299,2796194,1463909,103,0.0944,0.0862,0.402,0.6274
NW_006804244.1,2531,2669421,1229280,103,0.0664,0.1037,0.4626,0.6942
NW_006804265.1,6735,2759027,1265608,107,0.0912,0.0756,0.3632,0.6187
NW_006804278.1,17937,2600299,1419086,102,0.0596,0.1258,0.2967,0.536
NW_006804280.1,9920,2620669,1338043,103,0.0856,0.0685,0.3944,0.6652
NW_006804282.1,20009,2256280,1059865,110,0.0376,0.114,0.4343,0.7186
NW_006804302.1,1549,2153376,1105401,107,0.0652,0.1283,0.4782,0.6729
NW_006804349.1,17147,2005748,986325,108,0.0746,0.1001,0.3308,0.5844
