param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_32_pop_0,-0.000096,0.000015,-0.060673,0.059263
alpha_loc_33_pop_0,0.000530,0.000495,-0.058537,0.061431
alpha_loc_34_pop_0,0.005685,0.004998,-0.052686,0.066425
alpha_loc_35_pop_0,-0.000091,-0.000299,-0.060535,0.058440
alpha_loc_36_pop_0,-0.000080,-0.000015,-0.058494,0.059239
alpha_loc_37_pop_0,0.000652,0.000683,-0.058851,0.059242
alpha_loc_38_pop_0,-0.000489,-0.000747,-0.061444,0.058151
alpha_loc_39_pop_0,-0.000361,0.000157,-0.061610,0.059876
alpha_loc_40_pop_0,0.001519,0.001347,-0.058030,0.061092
alpha_loc_41_pop_0,0.000737,0.001027,-0.059904,0.058385
alpha_loc_42_pop_0,0.000047,-0.000158,-0.057819,0.058064
alpha_loc_43_pop_0,0.000577,0.000482,-0.059477,0.060309
alpha_loc_44_pop_0,-0.000282,-0.000727,-0.060225,0.058337
alpha_loc_45_pop_0,-0.000343,-0.000543,-0.058826,0.058262
alpha_loc_46_pop_0,-0.000012,0.000030,-0.059969,0.059561
alpha_loc_47_pop_0,-0.000066,-0.000011,-0.059738,0.058675
alpha_loc_48_pop_0,-0.000043,0.000149,-0.060143,0.060102
alpha_loc_49_pop_0,0.000138,0.000297,-0.059535,0.058555
alpha_loc_50_pop_0,-0.000191,-0.000129,-0.061400,0.060515
alpha_loc_51_pop_0,0.000126,0.000404,-0.058400,0.058518
alpha_loc_52_pop_0,-0.000424,-0.000402,-0.059189,0.058361
alpha_loc_53_pop_0,-0.000059,-0.000416,-0.057334,0.060058
alpha_loc_54_pop_0,0.000573,0.000617,-0.058845,0.058614
alpha_loc_55_pop_0,-0.000277,-0.000533,-0.058761,0.060414
alpha_loc_56_pop_0,0.000492,0.000423,-0.059629,0.059412
alpha_loc_57_pop_0,0.000249,0.000231,-0.057910,0.058163
alpha_loc_58_pop_0,-0.000159,-0.000105,-0.058278,0.058752
alpha_loc_59_pop_0,-0.000367,-0.000298,-0.058679,0.057951
alpha_loc_60_pop_0,-0.000502,-0.000367,-0.060098,0.058556
alpha_loc_61_pop_0,-0.000445,-0.000792,-0.059221,0.058059
alpha_loc_62_pop_0,0.000050,-0.000224,-0.058614,0.058974
alpha_loc_63_pop_0,-0.000826,-0.000473,-0.060384,0.058431
alpha_loc_64_pop_0,-0.000546,-0.000356,-0.060561,0.059094
alpha_loc_65_pop_0,-0.000217,-0.000019,-0.060078,0.059075
alpha_loc_66_pop_0,0.000228,0.000019,-0.058312,0.060287
alpha_loc_67_pop_0,0.000115,-0.000396,-0.058401,0.057774
alpha_loc_68_pop_0,-0.000119,-0.000149,-0.059009,0.060149
alpha_loc_69_pop_0,-0.000007,0.000104,-0.059222,0.059871
alpha_loc_70_pop_0,0.000104,-0.000134,-0.057324,0.058007
alpha_loc_71_pop_0,-0.000026,-0.000026,-0.059594,0.059366
alpha_loc_72_pop_0,0.001385,0.001254,-0.057539,0.062058
alpha_loc_73_pop_0,-0.000806,-0.000135,-0.059760,0.056197
alpha_loc_74_pop_0,0.001416,0.001224,-0.058082,0.062197
alpha_loc_75_pop_0,0.000260,0.000420,-0.059200,0.059447
alpha_loc_76_pop_0,0.000210,-0.000014,-0.059533,0.060327
alpha_loc_77_pop_0,0.001137,0.000951,-0.057800,0.061855
alpha_loc_78_pop_0,-0.000266,-0.000031,-0.060051,0.059908
alpha_loc_79_pop_0,-0.000114,-0.000165,-0.059861,0.059864
alpha_loc_80_pop_0,0.000017,0.000081,-0.058694,0.060378
alpha_loc_81_pop_0,0.000124,0.000167,-0.058529,0.060464
alpha_loc_82_pop_0,-0.000288,-0.000329,-0.059148,0.058334
alpha_loc_83_pop_0,-0.000092,-0.000381,-0.059893,0.059273
alpha_loc_84_pop_0,-0.000291,-0.000437,-0.059782,0.060296
alpha_loc_85_pop_0,0.000089,0.000043,-0.059439,0.059549
alpha_loc_86_pop_0,-0.000374,-0.000459,-0.060925,0.058771
alpha_loc_87_pop_0,0.000268,0.000132,-0.058766,0.059758
alpha_loc_88_pop_0,-0.000677,-0.000540,-0.060482,0.058743
alpha_loc_89_pop_0,-0.000972,-0.000843,-0.060563,0.057482
alpha_loc_90_pop_0,0.000063,-0.000033,-0.059716,0.057899
alpha_loc_91_pop_0,-0.001996,-0.001817,-0.060405,0.057209
alpha_loc_92_pop_0,0.000300,0.000205,-0.059087,0.060102
alpha_loc_93_pop_0,0.000418,0.000821,-0.056599,0.058131
alpha_loc_94_pop_0,0.000046,-0.000012,-0.059589,0.059358
alpha_loc_95_pop_0,0.000083,0.000529,-0.059971,0.058641
alpha_loc_96_pop_0,-0.000430,-0.000158,-0.059389,0.059759
alpha_loc_97_pop_0,-0.000435,-0.000182,-0.059197,0.057825
alpha_loc_98_pop_0,0.000708,0.000555,-0.059891,0.062317
alpha_loc_99_pop_0,0.000366,0.000357,-0.059987,0.058428
alpha_loc_100_pop_0,-0.000326,-0.000364,-0.060335,0.060346
alpha_loc_101_pop_0,-0.000483,-0.000408,-0.058827,0.057183
alpha_loc_102_pop_0,0.000242,0.000054,-0.058165,0.060303
alpha_loc_103_pop_0,0.000270,0.000376,-0.060738,0.061664
alpha_loc_104_pop_0,-0.000142,-0.000490,-0.060050,0.060189
alpha_loc_105_pop_0,0.000491,0.000034,-0.059141,0.060875
alpha_loc_106_pop_0,0.000476,0.000660,-0.058969,0.059946
alpha_loc_107_pop_0,0.000019,-0.000038,-0.059039,0.058325
alpha_loc_108_pop_0,-0.000372,-0.000493,-0.058521,0.058597
alpha_loc_109_pop_0,-0.000001,0.000523,-0.061258,0.058997
alpha_loc_110_pop_0,-0.000235,-0.000353,-0.058971,0.059972
alpha_loc_111_pop_0,0.000234,0.000071,-0.058788,0.058480
alpha_loc_112_pop_0,-0.000689,-0.000220,-0.061245,0.058878
alpha_loc_113_pop_0,-0.000498,-0.000497,-0.058882,0.059415
alpha_loc_114_pop_0,-0.000038,0.000219,-0.060049,0.059997
alpha_loc_115_pop_0,-0.000192,-0.000294,-0.059430,0.059200
alpha_loc_116_pop_0,-0.000221,0.000241,-0.059896,0.057479
alpha_loc_117_pop_0,0.000086,0.000093,-0.058697,0.057494
alpha_loc_118_pop_0,0.000228,-0.000050,-0.059179,0.059839
alpha_loc_119_pop_0,-0.000079,-0.000044,-0.058243,0.058125
alpha_loc_120_pop_0,-0.000890,-0.000667,-0.059935,0.057153
alpha_loc_121_pop_0,0.000481,0.000111,-0.057688,0.059967
alpha_loc_122_pop_0,-0.000606,-0.000403,-0.060914,0.056964
alpha_loc_123_pop_0,-0.001024,-0.000936,-0.061356,0.057055
alpha_loc_124_pop_0,-0.000196,-0.000200,-0.058903,0.058780
alpha_loc_125_pop_0,-0.000257,-0.000044,-0.059892,0.059986
alpha_loc_126_pop_0,-0.000427,-0.000320,-0.059625,0.058082
alpha_loc_127_pop_0,-0.000139,-0.000152,-0.060768,0.059086
alpha_loc_128_pop_0,0.000307,0.000525,-0.059646,0.059808
alpha_loc_129_pop_0,0.000584,0.000422,-0.057457,0.059545
alpha_loc_130_pop_0,-0.000554,-0.000580,-0.059567,0.058288
alpha_loc_131_pop_0,0.000220,0.000013,-0.058330,0.057656
alpha_loc_132_pop_0,0.000496,0.000407,-0.058737,0.060091
alpha_loc_133_pop_0,0.000284,0.000438,-0.058065,0.057572
alpha_loc_134_pop_0,0.000032,-0.000365,-0.059359,0.060623
alpha_loc_135_pop_0,-0.000436,-0.000275,-0.061017,0.058165
alpha_loc_136_pop_0,0.000073,0.000183,-0.058423,0.058678
alpha_loc_137_pop_0,0.000384,0.000432,-0.058800,0.061124
alpha_loc_138_pop_0,0.000238,-0.000008,-0.058658,0.060979
alpha_loc_139_pop_0,-0.001051,-0.001049,-0.061564,0.057612
alpha_loc_140_pop_0,-0.000135,0.000095,-0.059703,0.059118
alpha_loc_141_pop_0,-0.000795,-0.000282,-0.059827,0.056984
alpha_loc_142_pop_0,0.000363,0.000440,-0.058229,0.059326
alpha_loc_143_pop_0,0.001064,0.001028,-0.057772,0.061771
alpha_loc_144_pop_0,0.002190,0.002118,-0.055784,0.062979
alpha_loc_145_pop_0,0.000543,0.000490,-0.059185,0.060941
alpha_loc_146_pop_0,0.000134,-0.000065,-0.059037,0.059571
alpha_loc_147_pop_0,0.000421,0.000654,-0.058945,0.059308
alpha_loc_148_pop_0,-0.000486,-0.000757,-0.058806,0.059429
alpha_loc_149_pop_0,-0.000492,-0.000408,-0.059705,0.060726
alpha_loc_150_pop_0,-0.000075,0.000067,-0.057707,0.059801
alpha_loc_151_pop_0,-0.000261,-0.000208,-0.059629,0.058325
alpha_loc_152_pop_0,0.003328,0.002960,-0.055788,0.065036
alpha_loc_153_pop_0,-0.000694,-0.000399,-0.062449,0.058541
alpha_loc_154_pop_0,0.000331,0.000510,-0.060585,0.058194
alpha_loc_155_pop_0,-0.000190,-0.000110,-0.058467,0.057031
alpha_loc_156_pop_0,-0.000120,-0.000103,-0.059329,0.058384
alpha_loc_157_pop_0,0.001418,0.001097,-0.057192,0.063212
alpha_loc_158_pop_0,-0.000134,0.000161,-0.058423,0.058083
alpha_loc_159_pop_0,0.000466,0.000230,-0.058852,0.060328
alpha_loc_160_pop_0,-0.000558,-0.000548,-0.060540,0.058883
alpha_loc_161_pop_0,-0.000126,-0.000429,-0.059404,0.059046
alpha_loc_162_pop_0,-0.000365,-0.000129,-0.058963,0.058813
alpha_loc_163_pop_0,-0.000101,-0.000375,-0.058627,0.057680
alpha_loc_164_pop_0,0.000308,0.000124,-0.059708,0.060885
alpha_loc_165_pop_0,-0.000292,-0.000159,-0.059183,0.059614
alpha_loc_166_pop_0,0.000188,0.000111,-0.058423,0.060069
alpha_loc_167_pop_0,-0.000462,-0.000310,-0.059189,0.059259
alpha_loc_168_pop_0,-0.000231,-0.000046,-0.059594,0.059078
alpha_loc_169_pop_0,-0.000281,-0.000298,-0.058094,0.058678
alpha_loc_170_pop_0,-0.000627,-0.000428,-0.058656,0.058531
alpha_loc_171_pop_0,0.000537,0.000623,-0.059393,0.060994
alpha_loc_172_pop_0,-0.000622,-0.000616,-0.062006,0.059303
alpha_loc_173_pop_0,0.000219,0.000515,-0.059611,0.058852
alpha_loc_174_pop_0,0.000715,0.000606,-0.058113,0.061427
alpha_loc_175_pop_0,-0.000639,-0.000394,-0.060357,0.058600
alpha_loc_176_pop_0,-0.000165,0.000068,-0.060907,0.059961
alpha_loc_177_pop_0,0.000249,0.000019,-0.057329,0.058878
alpha_loc_178_pop_0,-0.000605,-0.000792,-0.060927,0.058098
alpha_loc_179_pop_0,0.000228,0.000034,-0.058202,0.060558
alpha_loc_180_pop_0,-0.000273,-0.000257,-0.059421,0.058129
alpha_loc_181_pop_0,-0.000186,-0.000066,-0.059362,0.057966
alpha_loc_182_pop_0,0.000120,0.000024,-0.057797,0.059998
alpha_loc_183_pop_0,-0.000571,-0.000432,-0.059764,0.056428
alpha_loc_184_pop_0,0.000012,-0.000185,-0.058997,0.058657
alpha_loc_185_pop_0,0.000219,0.000163,-0.058496,0.059029
alpha_loc_186_pop_0,0.000244,-0.000002,-0.057616,0.059612
alpha_loc_187_pop_0,0.000003,-0.000077,-0.057844,0.059814
alpha_loc_188_pop_0,-0.000076,-0.000334,-0.059648,0.059167
alpha_loc_189_pop_0,-0.000591,-0.000678,-0.061012,0.058247
alpha_loc_190_pop_0,0.000011,0.000132,-0.058673,0.058481
alpha_loc_191_pop_0,0.000328,0.000151,-0.059101,0.060493
alpha_loc_192_pop_0,0.000080,0.000277,-0.058362,0.060217
alpha_loc_193_pop_0,0.000397,-0.000066,-0.058238,0.059265
alpha_loc_194_pop_0,0.001077,0.001139,-0.058169,0.059573
alpha_loc_195_pop_0,0.000729,0.000505,-0.058007,0.060415
alpha_loc_196_pop_0,-0.000110,0.000033,-0.060484,0.060549
alpha_loc_197_pop_0,0.000159,0.000284,-0.058822,0.059056
alpha_loc_198_pop_0,-0.001159,-0.001277,-0.059444,0.056869
alpha_loc_199_pop_0,0.000367,0.000220,-0.057307,0.060578
alpha_loc_200_pop_0,0.001641,0.001384,-0.057330,0.061148
alpha_loc_201_pop_0,-0.000352,-0.000404,-0.060092,0.056524
alpha_loc_202_pop_0,-0.000101,-0.000209,-0.058880,0.059014
alpha_loc_203_pop_0,0.001002,0.000894,-0.058901,0.061919
alpha_loc_204_pop_0,-0.000544,-0.000524,-0.059721,0.058028
alpha_loc_205_pop_0,-0.000354,-0.000202,-0.059757,0.057928
alpha_loc_206_pop_0,-0.002593,-0.002106,-0.063764,0.056523
alpha_loc_207_pop_0,-0.001008,-0.001042,-0.059989,0.059012
alpha_loc_208_pop_0,-0.000302,-0.000729,-0.060228,0.060365
alpha_loc_209_pop_0,0.003050,0.002808,-0.053944,0.061806
alpha_loc_210_pop_0,0.000874,0.000498,-0.056830,0.061140
alpha_loc_211_pop_0,0.000603,0.000629,-0.058252,0.061426
alpha_loc_212_pop_0,0.000466,0.000075,-0.059161,0.060430
alpha_loc_213_pop_0,0.000864,0.000820,-0.057831,0.059433
alpha_loc_214_pop_0,-0.000075,-0.000147,-0.059750,0.059319
alpha_loc_215_pop_0,-0.000135,-0.000228,-0.059719,0.058475
alpha_loc_216_pop_0,0.000348,0.000446,-0.057197,0.059921
alpha_loc_217_pop_0,-0.000512,-0.000561,-0.059634,0.059145
alpha_loc_218_pop_0,-0.000562,-0.000548,-0.059170,0.058482
alpha_loc_219_pop_0,-0.000435,-0.000260,-0.060874,0.057466
alpha_loc_220_pop_0,0.000279,0.000268,-0.058492,0.059200
alpha_loc_221_pop_0,0.001677,0.001629,-0.057574,0.061886
alpha_loc_222_pop_0,-0.000482,-0.000294,-0.060619,0.058695
alpha_loc_223_pop_0,0.000048,-0.000014,-0.058355,0.059908
alpha_loc_224_pop_0,0.000606,0.000655,-0.057918,0.058365
alpha_loc_225_pop_0,0.000347,0.000191,-0.057195,0.060445
alpha_loc_226_pop_0,0.000263,0.000255,-0.058403,0.058882
alpha_loc_227_pop_0,0.003113,0.002809,-0.052731,0.061927
alpha_loc_228_pop_0,-0.000805,-0.001002,-0.059851,0.058784
alpha_loc_229_pop_0,-0.000194,-0.000154,-0.059919,0.059472
alpha_loc_230_pop_0,0.002010,0.001567,-0.055132,0.061271
alpha_loc_231_pop_0,0.000188,0.000390,-0.057648,0.058791
alpha_loc_232_pop_0,0.000390,0.000533,-0.058997,0.058875
alpha_loc_233_pop_0,-0.001395,-0.000768,-0.061004,0.056594
alpha_loc_234_pop_0,0.000577,0.000490,-0.059250,0.061619
alpha_loc_235_pop_0,-0.000225,-0.000033,-0.060053,0.058359
alpha_loc_236_pop_0,-0.000080,-0.000026,-0.058886,0.058514
alpha_loc_237_pop_0,-0.000542,-0.000371,-0.059464,0.058500
alpha_loc_238_pop_0,-0.000588,-0.000647,-0.060570,0.060107
alpha_loc_239_pop_0,-0.000016,0.000277,-0.059287,0.058548
alpha_loc_240_pop_0,0.000152,0.000200,-0.058714,0.059201
alpha_loc_241_pop_0,-0.000024,-0.000258,-0.058899,0.061279
alpha_loc_242_pop_0,0.000126,0.000136,-0.059072,0.059294
alpha_loc_243_pop_0,0.000082,0.000097,-0.059113,0.058215
alpha_loc_244_pop_0,-0.000461,0.000009,-0.059065,0.058416
alpha_loc_245_pop_0,0.000166,0.000285,-0.059079,0.060956
alpha_loc_246_pop_0,0.000007,0.000342,-0.060295,0.057865
alpha_loc_247_pop_0,-0.000185,-0.000280,-0.059900,0.059784
alpha_loc_248_pop_0,-0.000357,-0.000261,-0.060505,0.060383
alpha_loc_249_pop_0,-0.000980,-0.001011,-0.061296,0.058690
alpha_loc_250_pop_0,-0.000248,-0.000182,-0.057814,0.058176
alpha_loc_251_pop_0,0.004847,0.004152,-0.054367,0.067013
alpha_loc_252_pop_0,-0.000039,0.000231,-0.060166,0.061388
alpha_loc_253_pop_0,0.000389,0.000053,-0.059089,0.060762
alpha_loc_254_pop_0,-0.000097,-0.000109,-0.059665,0.058923
alpha_loc_255_pop_0,-0.000039,-0.000173,-0.059847,0.057783
alpha_loc_256_pop_0,0.000439,0.000211,-0.058399,0.060740
alpha_loc_257_pop_0,0.001033,0.000837,-0.057263,0.061897
alpha_loc_258_pop_0,-0.000511,-0.000683,-0.060846,0.058925
alpha_loc_259_pop_0,0.000963,0.000764,-0.057368,0.060523
alpha_loc_260_pop_0,-0.000556,-0.000426,-0.059186,0.058168
alpha_loc_261_pop_0,-0.000150,-0.000255,-0.059621,0.059731
alpha_loc_262_pop_0,0.000236,0.000123,-0.060317,0.060798
alpha_loc_263_pop_0,-0.000003,0.000171,-0.058252,0.058462
alpha_loc_264_pop_0,0.000079,0.000293,-0.058477,0.060928
alpha_loc_265_pop_0,-0.000039,-0.000166,-0.059677,0.059511
alpha_loc_266_pop_0,-0.001815,-0.001596,-0.061050,0.055365
alpha_loc_267_pop_0,-0.000124,0.000018,-0.061326,0.060093
alpha_loc_268_pop_0,0.000152,0.000061,-0.060152,0.059907
alpha_loc_269_pop_0,-0.000181,-0.000107,-0.060047,0.059041
alpha_loc_270_pop_0,-0.000023,-0.000083,-0.059935,0.060603
alpha_loc_271_pop_0,0.000247,0.000392,-0.059266,0.060081
alpha_loc_272_pop_0,0.000047,-0.000027,-0.060740,0.061107
alpha_loc_273_pop_0,0.000363,0.000149,-0.058385,0.062334
alpha_loc_274_pop_0,0.000853,0.000785,-0.057396,0.058994
alpha_loc_275_pop_0,0.000161,-0.000033,-0.060621,0.059487
alpha_loc_276_pop_0,0.000366,0.000149,-0.058976,0.059826
alpha_loc_277_pop_0,-0.000765,-0.000833,-0.060898,0.058970
alpha_loc_278_pop_0,-0.000883,-0.000631,-0.061446,0.057962
alpha_loc_279_pop_0,-0.000790,-0.000837,-0.059731,0.057564
alpha_loc_280_pop_0,-0.000129,-0.000623,-0.059732,0.060342
alpha_loc_281_pop_0,-0.000097,-0.000189,-0.058075,0.057583
alpha_loc_282_pop_0,0.000115,0.000160,-0.058206,0.060872
alpha_loc_283_pop_0,-0.000024,0.000025,-0.058541,0.059436
alpha_loc_284_pop_0,-0.000775,-0.000223,-0.061268,0.056361
alpha_loc_285_pop_0,0.000523,0.000593,-0.058147,0.059757
alpha_loc_286_pop_0,-0.000391,-0.000019,-0.060297,0.060843
alpha_loc_287_pop_0,0.000546,0.000539,-0.057810,0.059431
alpha_loc_288_pop_0,-0.000863,-0.000456,-0.062821,0.057443
alpha_loc_289_pop_0,-0.000142,-0.000415,-0.058328,0.059924
alpha_loc_290_pop_0,0.000017,-0.000319,-0.057543,0.060475
alpha_loc_291_pop_0,0.002380,0.002023,-0.055607,0.061366
alpha_loc_292_pop_0,0.008755,0.007535,-0.048575,0.073833
alpha_loc_293_pop_0,0.000114,0.000135,-0.059829,0.059319
alpha_loc_294_pop_0,-0.000023,-0.000302,-0.060588,0.059454
alpha_loc_295_pop_0,0.000550,0.000160,-0.058552,0.058808
alpha_loc_296_pop_0,0.000031,0.000383,-0.059374,0.059336
alpha_loc_297_pop_0,0.000730,0.000567,-0.058603,0.058531
alpha_loc_298_pop_0,0.000094,-0.000006,-0.057967,0.059584
alpha_loc_299_pop_0,-0.000306,-0.000503,-0.059592,0.060218
alpha_loc_300_pop_0,0.000962,0.000881,-0.056077,0.061616
alpha_loc_301_pop_0,0.000149,0.000215,-0.059180,0.059828
alpha_loc_302_pop_0,0.000112,0.000261,-0.059456,0.058789
alpha_loc_303_pop_0,-0.000121,0.000245,-0.061394,0.059688
alpha_loc_304_pop_0,0.000089,0.000077,-0.059595,0.058526
alpha_loc_305_pop_0,-0.000199,0.000243,-0.060405,0.059902
alpha_loc_306_pop_0,-0.000012,-0.000019,-0.059318,0.058447
alpha_loc_307_pop_0,0.000308,-0.000206,-0.058031,0.061157
alpha_loc_308_pop_0,0.000030,0.000216,-0.059571,0.058375
alpha_loc_309_pop_0,-0.000321,-0.000647,-0.059995,0.058877
alpha_loc_310_pop_0,-0.000709,-0.000194,-0.061657,0.057955
alpha_loc_311_pop_0,0.000281,0.000142,-0.058699,0.061251
alpha_loc_312_pop_0,0.000822,0.000654,-0.058573,0.059914
alpha_loc_313_pop_0,-0.001339,-0.000686,-0.061586,0.056954
alpha_loc_314_pop_0,-0.000197,-0.000153,-0.059591,0.059165
alpha_loc_315_pop_0,-0.000015,-0.000156,-0.059373,0.059001
alpha_loc_316_pop_0,0.000228,0.000244,-0.058998,0.061787
alpha_loc_317_pop_0,0.000088,0.000250,-0.060749,0.059666
alpha_loc_318_pop_0,-0.000115,-0.000183,-0.060377,0.059908
alpha_loc_319_pop_0,0.000134,-0.000504,-0.058103,0.059136
alpha_loc_320_pop_0,-0.000705,-0.000451,-0.060788,0.056306
alpha_loc_321_pop_0,0.000264,0.000054,-0.058729,0.060395
alpha_loc_322_pop_0,-0.000372,-0.000620,-0.058016,0.058654
alpha_loc_323_pop_0,0.000210,0.000470,-0.059576,0.062111
alpha_loc_324_pop_0,-0.000197,-0.000242,-0.059552,0.058903
alpha_loc_325_pop_0,-0.000195,-0.000121,-0.059778,0.059472
alpha_loc_326_pop_0,0.000207,-0.000086,-0.058742,0.062715
alpha_loc_327_pop_0,-0.000254,-0.000187,-0.059051,0.058274
alpha_loc_328_pop_0,0.000686,0.000933,-0.059543,0.059286
alpha_loc_329_pop_0,-0.000066,-0.000142,-0.058259,0.058802
alpha_loc_330_pop_0,-0.001090,-0.000876,-0.059707,0.055082
alpha_loc_331_pop_0,0.000154,-0.000177,-0.059846,0.059026
alpha_loc_332_pop_0,0.000085,0.000063,-0.057904,0.060220
alpha_loc_333_pop_0,0.000949,0.000983,-0.059434,0.059880
alpha_loc_334_pop_0,0.000586,0.000635,-0.060309,0.059676
alpha_loc_335_pop_0,0.000344,0.000918,-0.060548,0.058897
alpha_loc_336_pop_0,0.000534,0.000699,-0.058431,0.058218
alpha_loc_337_pop_0,-0.000675,-0.000651,-0.059374,0.057611
alpha_loc_338_pop_0,0.000443,0.000497,-0.057951,0.060188
alpha_loc_339_pop_0,0.000309,0.000264,-0.060417,0.059833
alpha_loc_340_pop_0,-0.000599,-0.000656,-0.060811,0.057697
alpha_loc_341_pop_0,-0.000410,0.000080,-0.061332,0.056507
alpha_loc_342_pop_0,-0.000879,-0.000763,-0.059992,0.058467
alpha_loc_343_pop_0,-0.000211,0.000011,-0.059213,0.057924
alpha_loc_344_pop_0,-0.000435,-0.000614,-0.060031,0.059775
alpha_loc_345_pop_0,-0.000695,-0.000897,-0.059621,0.057191
alpha_loc_346_pop_0,0.000293,0.000404,-0.058661,0.060686
alpha_loc_347_pop_0,-0.000818,-0.000727,-0.060628,0.056482
alpha_loc_348_pop_0,-0.000385,-0.000041,-0.061608,0.058398
alpha_loc_349_pop_0,0.000604,0.000423,-0.059011,0.060532
alpha_loc_350_pop_0,0.000789,0.000552,-0.058859,0.060752
alpha_loc_351_pop_0,-0.000302,-0.000393,-0.061105,0.059112
alpha_loc_352_pop_0,0.000369,0.000560,-0.058389,0.058866
alpha_loc_353_pop_0,-0.000598,-0.000518,-0.061708,0.061094
alpha_loc_354_pop_0,-0.000189,-0.000296,-0.059189,0.058715
alpha_loc_355_pop_0,-0.000713,-0.000410,-0.060795,0.057654
alpha_loc_356_pop_0,0.000262,0.000170,-0.058601,0.059771
alpha_loc_357_pop_0,-0.000709,-0.000667,-0.059278,0.058529
alpha_loc_358_pop_0,-0.000720,-0.000879,-0.061429,0.058938
alpha_loc_359_pop_0,0.000633,0.000645,-0.058317,0.059154
alpha_loc_360_pop_0,-0.001035,-0.000833,-0.061484,0.056601
alpha_loc_361_pop_0,-0.000054,0.000068,-0.058641,0.057843
alpha_loc_362_pop_0,0.001011,0.000854,-0.058218,0.062459
alpha_loc_363_pop_0,-0.000962,-0.000487,-0.060697,0.058796
alpha_loc_364_pop_0,-0.000522,-0.000221,-0.059954,0.058809
alpha_loc_365_pop_0,0.001053,0.000775,-0.058150,0.061873
alpha_loc_366_pop_0,-0.000283,0.000218,-0.060484,0.058055
alpha_loc_367_pop_0,-0.000177,-0.000047,-0.060525,0.059127
alpha_loc_368_pop_0,-0.000114,-0.000146,-0.059067,0.059364
alpha_loc_369_pop_0,0.000056,0.000228,-0.061684,0.057301
alpha_loc_370_pop_0,0.000535,0.000445,-0.057229,0.059754
alpha_loc_371_pop_0,0.000654,0.000270,-0.057257,0.060037
alpha_loc_372_pop_0,0.000980,0.000889,-0.058084,0.061683
alpha_loc_373_pop_0,-0.000371,-0.000108,-0.060179,0.058595
alpha_loc_374_pop_0,-0.000183,-0.000201,-0.059124,0.058600
alpha_loc_375_pop_0,0.000229,0.000011,-0.058392,0.060270
alpha_loc_376_pop_0,0.000507,0.000101,-0.057879,0.060167
alpha_loc_377_pop_0,0.000463,0.000416,-0.059289,0.059457
alpha_loc_378_pop_0,0.000358,0.000235,-0.059017,0.062641
alpha_loc_379_pop_0,-0.000096,0.000091,-0.057430,0.057563
alpha_loc_380_pop_0,-0.002002,-0.001500,-0.064017,0.057981
alpha_loc_381_pop_0,-0.000118,-0.000308,-0.058768,0.058964
alpha_loc_382_pop_0,-0.000825,-0.000913,-0.062071,0.058484
alpha_loc_383_pop_0,-0.000700,-0.000517,-0.058711,0.056737
alpha_loc_384_pop_0,-0.001470,-0.001335,-0.061299,0.057448
alpha_loc_385_pop_0,0.000105,0.000098,-0.059436,0.059211
