param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_42_pop_0,-0.000688,-0.000775,-0.109111,0.105030
beta_loc_43_pop_0,-0.000268,0.000238,-0.109035,0.105298
beta_loc_44_pop_0,-0.000496,-0.000133,-0.105236,0.101724
beta_loc_45_pop_0,-0.000496,-0.000359,-0.106069,0.106886
beta_loc_46_pop_0,-0.000923,-0.000165,-0.113487,0.103352
beta_loc_47_pop_0,0.000206,-0.000316,-0.105215,0.113284
beta_loc_48_pop_0,-0.000208,-0.000053,-0.106250,0.106479
beta_loc_49_pop_0,0.000018,-0.000170,-0.107060,0.108945
beta_loc_50_pop_0,-0.000995,-0.000258,-0.110573,0.103099
beta_loc_51_pop_0,0.001339,0.000497,-0.105367,0.115224
beta_loc_52_pop_0,-0.000109,-0.000007,-0.105471,0.105381
beta_loc_53_pop_0,-0.000467,-0.000824,-0.110430,0.110839
beta_loc_54_pop_0,-0.000318,0.000057,-0.104408,0.108451
beta_loc_55_pop_0,-0.000219,-0.000420,-0.110543,0.108462
beta_loc_56_pop_0,-0.000106,-0.000764,-0.106538,0.105593
beta_loc_57_pop_0,0.000968,0.000659,-0.102019,0.107827
beta_loc_58_pop_0,-0.000318,-0.000488,-0.110544,0.107203
beta_loc_59_pop_0,-0.000502,-0.000046,-0.109017,0.107616
beta_loc_60_pop_0,-0.001333,-0.001280,-0.107028,0.102000
beta_loc_61_pop_0,0.000418,0.000201,-0.107963,0.108492
beta_loc_62_pop_0,-0.000792,-0.000173,-0.107161,0.103458
beta_loc_63_pop_0,0.000957,0.000575,-0.101327,0.108198
beta_loc_64_pop_0,0.000695,0.000740,-0.101802,0.104820
beta_loc_65_pop_0,-0.000067,0.000052,-0.110009,0.108314
beta_loc_66_pop_0,-0.000278,-0.000086,-0.107700,0.108303
beta_loc_67_pop_0,0.000026,-0.000112,-0.106453,0.108761
beta_loc_68_pop_0,-0.000303,-0.000317,-0.103490,0.103918
beta_loc_69_pop_0,-0.000646,0.000006,-0.105234,0.103560
beta_loc_70_pop_0,0.000718,0.000585,-0.105013,0.109191
beta_loc_71_pop_0,0.000656,0.000874,-0.103493,0.106569
beta_loc_72_pop_0,0.000202,-0.000009,-0.107194,0.109200
beta_loc_73_pop_0,-0.000191,0.000375,-0.108015,0.103961
beta_loc_74_pop_0,-0.001632,-0.001386,-0.106774,0.101465
beta_loc_75_pop_0,0.001326,0.000661,-0.107087,0.111498
beta_loc_76_pop_0,-0.000140,0.000328,-0.107261,0.104123
beta_loc_77_pop_0,-0.001479,-0.001051,-0.105966,0.102804
beta_loc_78_pop_0,0.000575,0.000447,-0.108278,0.107429
beta_loc_79_pop_0,0.000266,0.000006,-0.106383,0.108987
beta_loc_80_pop_0,0.000732,0.000704,-0.105445,0.111590
beta_loc_81_pop_0,-0.000415,0.000243,-0.109748,0.106588
beta_loc_82_pop_0,-0.000185,-0.000057,-0.106584,0.103867
beta_loc_83_pop_0,-0.000301,0.000486,-0.107372,0.105314
beta_loc_84_pop_0,-0.000813,-0.000963,-0.108879,0.106314
beta_loc_85_pop_0,-0.000798,-0.000717,-0.107852,0.103939
beta_loc_86_pop_0,0.000870,0.000557,-0.102805,0.104040
beta_loc_87_pop_0,-0.001454,-0.001416,-0.106331,0.106401
beta_loc_88_pop_0,0.000280,0.000394,-0.106299,0.104307
beta_loc_89_pop_0,0.000483,0.000365,-0.104149,0.109386
beta_loc_90_pop_0,-0.000358,-0.000779,-0.105821,0.109469
beta_loc_91_pop_0,0.004518,0.002724,-0.095904,0.118144
beta_loc_92_pop_0,0.000623,0.000726,-0.106521,0.108925
beta_loc_93_pop_0,0.000025,0.000420,-0.106537,0.106291
beta_loc_94_pop_0,-0.000404,-0.000136,-0.108148,0.106275
beta_loc_95_pop_0,-0.000500,-0.000502,-0.108603,0.102681
beta_loc_96_pop_0,-0.000162,-0.000371,-0.104254,0.108696
beta_loc_97_pop_0,0.000071,-0.000326,-0.105314,0.105996
beta_loc_98_pop_0,-0.001953,-0.001407,-0.108149,0.101302
beta_loc_99_pop_0,0.001184,0.000586,-0.100509,0.105254
beta_loc_100_pop_0,-0.000983,-0.001075,-0.108374,0.102442
beta_loc_101_pop_0,-0.000200,-0.000655,-0.105794,0.111667
beta_loc_102_pop_0,0.000025,0.000182,-0.107916,0.106781
beta_loc_103_pop_0,0.000413,0.000399,-0.108389,0.109017
beta_loc_104_pop_0,0.000421,0.000380,-0.105747,0.105628
beta_loc_105_pop_0,0.000354,-0.000059,-0.103439,0.105382
beta_loc_106_pop_0,-0.000062,-0.000457,-0.107324,0.105790
beta_loc_107_pop_0,-0.000033,0.000868,-0.108660,0.104151
beta_loc_108_pop_0,0.001525,0.000830,-0.102470,0.110289
beta_loc_109_pop_0,-0.000645,-0.000627,-0.105606,0.106643
beta_loc_110_pop_0,0.000254,0.000333,-0.105914,0.103948
beta_loc_111_pop_0,0.000105,-0.000101,-0.103979,0.108268
beta_loc_112_pop_0,-0.000052,0.000354,-0.108364,0.106120
beta_loc_113_pop_0,0.000019,0.000146,-0.104633,0.108339
beta_loc_114_pop_0,-0.000750,-0.000057,-0.106410,0.104715
beta_loc_115_pop_0,-0.001088,-0.000282,-0.110042,0.104556
beta_loc_116_pop_0,-0.000510,-0.000582,-0.107979,0.106755
beta_loc_117_pop_0,-0.000020,-0.000275,-0.108461,0.110411
beta_loc_118_pop_0,-0.001197,-0.000145,-0.112488,0.100214
beta_loc_119_pop_0,-0.000377,-0.000520,-0.107494,0.106865
beta_loc_120_pop_0,-0.002213,-0.000848,-0.114929,0.101382
beta_loc_121_pop_0,-0.000903,-0.000938,-0.105978,0.107137
beta_loc_122_pop_0,0.000601,0.000679,-0.104682,0.109623
beta_loc_123_pop_0,0.000054,-0.000445,-0.105353,0.104095
beta_loc_124_pop_0,-0.000521,-0.000457,-0.107510,0.105472
beta_loc_125_pop_0,-0.000359,0.000138,-0.110558,0.108016
beta_loc_126_pop_0,-0.000042,-0.000195,-0.105293,0.104832
beta_loc_127_pop_0,0.000342,0.000335,-0.107533,0.105956
beta_loc_128_pop_0,-0.000661,-0.000230,-0.110334,0.106058
beta_loc_129_pop_0,0.001418,0.001063,-0.104396,0.111227
beta_loc_130_pop_0,-0.000318,-0.000459,-0.106100,0.106222
beta_loc_131_pop_0,-0.000539,-0.000549,-0.107134,0.107375
beta_loc_132_pop_0,-0.001129,-0.000258,-0.112922,0.105197
beta_loc_133_pop_0,0.000685,0.000556,-0.104204,0.108510
beta_loc_134_pop_0,-0.000726,-0.000648,-0.111018,0.106751
beta_loc_135_pop_0,0.000552,0.000582,-0.107141,0.105425
beta_loc_136_pop_0,0.000041,-0.000030,-0.107802,0.105579
beta_loc_137_pop_0,-0.000021,-0.000188,-0.104161,0.107325
beta_loc_138_pop_0,0.001143,0.000207,-0.103453,0.113031
beta_loc_139_pop_0,0.000448,-0.000054,-0.103457,0.108314
beta_loc_140_pop_0,0.001240,0.001362,-0.107462,0.109221
beta_loc_141_pop_0,-0.000306,0.000203,-0.108390,0.106033
beta_loc_142_pop_0,0.000237,-0.000299,-0.102853,0.111308
beta_loc_143_pop_0,-0.003292,-0.001949,-0.115177,0.096533
beta_loc_144_pop_0,0.002064,0.001855,-0.102594,0.111190
beta_loc_145_pop_0,-0.000755,-0.000954,-0.105464,0.106111
beta_loc_146_pop_0,0.000548,0.000547,-0.107460,0.108624
beta_loc_147_pop_0,0.000617,0.000404,-0.106040,0.109541
beta_loc_148_pop_0,-0.000306,0.000253,-0.106143,0.101810
beta_loc_149_pop_0,-0.000002,-0.000007,-0.104054,0.102503
beta_loc_150_pop_0,0.000803,0.000986,-0.106057,0.110029
beta_loc_151_pop_0,0.000250,-0.000239,-0.106133,0.107571
beta_loc_152_pop_0,-0.001054,-0.000779,-0.111412,0.104741
beta_loc_153_pop_0,-0.001186,-0.000605,-0.109540,0.102740
beta_loc_154_pop_0,-0.000208,-0.000009,-0.107605,0.108157
beta_loc_155_pop_0,0.000604,0.000358,-0.107459,0.107074
beta_loc_156_pop_0,0.000124,-0.000377,-0.105375,0.109764
beta_loc_157_pop_0,-0.002042,-0.000787,-0.110626,0.103086
beta_loc_158_pop_0,-0.000293,0.000279,-0.109757,0.105111
beta_loc_159_pop_0,-0.000234,-0.000238,-0.107876,0.108038
beta_loc_160_pop_0,-0.000197,0.000315,-0.106689,0.104225
beta_loc_161_pop_0,-0.001257,0.000179,-0.111105,0.102315
beta_loc_162_pop_0,0.000344,0.000032,-0.103577,0.106466
beta_loc_163_pop_0,-0.000036,-0.000420,-0.108247,0.107794
beta_loc_164_pop_0,0.000515,0.000954,-0.109952,0.108997
beta_loc_165_pop_0,-0.000443,-0.000804,-0.104612,0.105212
beta_loc_166_pop_0,0.000192,0.000329,-0.109234,0.106378
beta_loc_167_pop_0,0.000271,0.000273,-0.107860,0.107514
beta_loc_168_pop_0,0.000370,0.000016,-0.106749,0.105937
beta_loc_169_pop_0,-0.000391,0.000567,-0.110940,0.103926
beta_loc_170_pop_0,0.001976,0.001783,-0.103107,0.110230
beta_loc_171_pop_0,0.001624,0.000746,-0.099466,0.107756
beta_loc_172_pop_0,0.000154,0.000447,-0.106678,0.110231
beta_loc_173_pop_0,-0.000076,-0.000498,-0.106600,0.110217
beta_loc_174_pop_0,0.000193,0.000608,-0.107065,0.103660
beta_loc_175_pop_0,0.001070,0.000570,-0.102045,0.109368
beta_loc_176_pop_0,0.000437,0.000097,-0.105246,0.107540
beta_loc_177_pop_0,-0.002021,-0.001590,-0.109956,0.099960
beta_loc_178_pop_0,0.001131,0.000865,-0.105369,0.108389
beta_loc_179_pop_0,-0.000551,-0.000790,-0.112449,0.106528
beta_loc_180_pop_0,0.000116,-0.000213,-0.106918,0.106497
beta_loc_181_pop_0,-0.000080,0.000168,-0.103199,0.108173
beta_loc_182_pop_0,-0.000885,-0.000083,-0.110257,0.106737
beta_loc_183_pop_0,0.000518,0.000379,-0.109475,0.109109
beta_loc_184_pop_0,-0.000309,-0.000670,-0.110181,0.110645
beta_loc_185_pop_0,0.000765,0.000642,-0.106962,0.112216
beta_loc_186_pop_0,-0.000088,-0.000121,-0.106698,0.105251
beta_loc_187_pop_0,0.000302,0.000086,-0.103247,0.109253
beta_loc_188_pop_0,0.000694,-0.000239,-0.103205,0.107678
beta_loc_189_pop_0,0.000258,0.000314,-0.103082,0.110253
beta_loc_190_pop_0,0.000711,0.000365,-0.107166,0.108083
beta_loc_191_pop_0,-0.000602,-0.000407,-0.107472,0.108410
beta_loc_192_pop_0,-0.000438,0.000039,-0.106976,0.105631
beta_loc_193_pop_0,0.000220,0.000114,-0.104971,0.106938
beta_loc_194_pop_0,-0.000833,0.000102,-0.111993,0.102964
beta_loc_195_pop_0,-0.000652,-0.000529,-0.110767,0.108965
beta_loc_196_pop_0,-0.000182,-0.000268,-0.105910,0.106749
beta_loc_197_pop_0,-0.000026,-0.000700,-0.105087,0.103108
beta_loc_198_pop_0,-0.000476,-0.000165,-0.107917,0.103572
beta_loc_199_pop_0,-0.000572,-0.000244,-0.108071,0.105352
beta_loc_200_pop_0,-0.000040,-0.000345,-0.103834,0.107110
beta_loc_201_pop_0,0.000288,-0.000043,-0.105623,0.109036
beta_loc_202_pop_0,0.000376,0.000101,-0.108430,0.109104
beta_loc_203_pop_0,0.000133,-0.000135,-0.106281,0.107503
beta_loc_204_pop_0,-0.006479,-0.003484,-0.122841,0.094075
beta_loc_205_pop_0,-0.000621,-0.000220,-0.114452,0.106735
beta_loc_206_pop_0,0.001274,0.000672,-0.110377,0.111657
beta_loc_207_pop_0,-0.000135,-0.000359,-0.108635,0.108390
beta_loc_208_pop_0,0.000970,0.000639,-0.106255,0.109883
beta_loc_209_pop_0,0.000736,0.000298,-0.105428,0.111475
beta_loc_210_pop_0,-0.000005,0.000003,-0.108853,0.105347
beta_loc_211_pop_0,0.001877,0.000771,-0.102264,0.113907
beta_loc_212_pop_0,0.000480,0.000585,-0.105718,0.107107
beta_loc_213_pop_0,0.000862,0.000222,-0.103869,0.109992
beta_loc_214_pop_0,0.000378,0.000394,-0.110044,0.109377
beta_loc_215_pop_0,-0.000261,0.000025,-0.109713,0.105604
beta_loc_216_pop_0,0.002888,0.001812,-0.102871,0.113318
beta_loc_217_pop_0,-0.000959,-0.000251,-0.109429,0.105948
beta_loc_218_pop_0,0.000329,0.000304,-0.105020,0.106863
beta_loc_219_pop_0,-0.000038,0.000555,-0.109886,0.108707
beta_loc_220_pop_0,-0.000468,0.000049,-0.104479,0.104999
beta_loc_221_pop_0,-0.001514,-0.000904,-0.111804,0.099613
beta_loc_222_pop_0,-0.000771,-0.000459,-0.106216,0.107097
beta_loc_223_pop_0,-0.000064,0.000311,-0.107512,0.102173
beta_loc_224_pop_0,-0.000119,0.000100,-0.108296,0.105555
beta_loc_225_pop_0,-0.002157,-0.001083,-0.110947,0.105112
beta_loc_226_pop_0,0.000072,0.000206,-0.105374,0.106718
beta_loc_227_pop_0,-0.002777,-0.001541,-0.114556,0.100090
beta_loc_228_pop_0,-0.000015,0.000148,-0.110055,0.107213
beta_loc_229_pop_0,0.000617,-0.000047,-0.107199,0.108179
beta_loc_230_pop_0,-0.004049,-0.002689,-0.119238,0.101030
beta_loc_231_pop_0,-0.002899,-0.001417,-0.114241,0.095910
beta_loc_232_pop_0,-0.000216,0.000107,-0.107047,0.101730
beta_loc_233_pop_0,-0.002611,-0.001629,-0.115636,0.102143
beta_loc_234_pop_0,-0.000027,-0.000111,-0.106305,0.106509
beta_loc_235_pop_0,0.000444,0.000024,-0.106068,0.105900
beta_loc_236_pop_0,0.000650,-0.000060,-0.108012,0.107677
beta_loc_237_pop_0,-0.009424,-0.006389,-0.127121,0.089559
beta_loc_238_pop_0,-0.000703,-0.000387,-0.107387,0.106775
beta_loc_239_pop_0,-0.003957,-0.002705,-0.116824,0.095068
beta_loc_240_pop_0,0.001264,0.000356,-0.103034,0.108328
beta_loc_241_pop_0,-0.000305,-0.000382,-0.107613,0.103013
beta_loc_242_pop_0,0.000035,-0.000395,-0.103583,0.107679
beta_loc_243_pop_0,0.000341,0.000630,-0.106342,0.103941
beta_loc_244_pop_0,-0.000148,0.000248,-0.106439,0.102095
beta_loc_245_pop_0,0.000598,0.000260,-0.104643,0.111159
beta_loc_246_pop_0,0.000259,0.000045,-0.108727,0.109907
beta_loc_247_pop_0,-0.000229,-0.000429,-0.103110,0.106614
beta_loc_248_pop_0,-0.000240,0.000006,-0.107415,0.108964
beta_loc_249_pop_0,0.000139,0.000186,-0.105937,0.105500
beta_loc_250_pop_0,0.000160,-0.000117,-0.107523,0.110283
beta_loc_251_pop_0,-0.004521,-0.002119,-0.115801,0.095964
beta_loc_252_pop_0,0.000710,0.000843,-0.104201,0.105250
beta_loc_253_pop_0,0.000423,0.000659,-0.106215,0.113199
beta_loc_254_pop_0,-0.000054,-0.000338,-0.107626,0.106234
beta_loc_255_pop_0,0.000099,-0.000003,-0.107000,0.109688
beta_loc_256_pop_0,-0.000128,-0.000243,-0.106098,0.110366
beta_loc_257_pop_0,0.000204,-0.000051,-0.107820,0.104784
beta_loc_258_pop_0,-0.000519,0.000239,-0.108114,0.107580
beta_loc_259_pop_0,-0.002237,-0.001013,-0.112780,0.102172
beta_loc_260_pop_0,0.000323,-0.000012,-0.107654,0.109262
beta_loc_261_pop_0,0.000176,0.000186,-0.107249,0.106285
beta_loc_262_pop_0,0.000080,0.000252,-0.106871,0.105777
beta_loc_263_pop_0,-0.000493,-0.000410,-0.107474,0.103348
beta_loc_264_pop_0,0.000325,0.000596,-0.105399,0.104111
beta_loc_265_pop_0,0.000425,0.000158,-0.104662,0.108914
beta_loc_266_pop_0,0.002590,0.000480,-0.103828,0.117965
beta_loc_267_pop_0,-0.000653,-0.000423,-0.109135,0.104701
beta_loc_268_pop_0,-0.000131,-0.000225,-0.106707,0.104718
beta_loc_269_pop_0,-0.001440,-0.001293,-0.111784,0.103747
beta_loc_270_pop_0,-0.000207,-0.000077,-0.107938,0.108353
beta_loc_271_pop_0,0.000241,0.000083,-0.108085,0.106591
beta_loc_272_pop_0,0.000566,0.000097,-0.105104,0.112345
beta_loc_273_pop_0,-0.000762,-0.000710,-0.104855,0.106786
beta_loc_274_pop_0,-0.003025,-0.001658,-0.111468,0.101186
beta_loc_275_pop_0,-0.001298,-0.000373,-0.109297,0.100554
beta_loc_276_pop_0,-0.000220,-0.000865,-0.104550,0.106870
beta_loc_277_pop_0,-0.000362,-0.000234,-0.106373,0.108344
beta_loc_278_pop_0,0.000220,0.000391,-0.106939,0.110302
beta_loc_279_pop_0,0.000118,-0.000094,-0.110854,0.108257
beta_loc_280_pop_0,-0.000399,-0.000504,-0.106419,0.108278
beta_loc_281_pop_0,-0.000508,-0.000284,-0.106856,0.104673
beta_loc_282_pop_0,-0.000620,-0.001014,-0.108972,0.105884
beta_loc_283_pop_0,-0.000509,-0.000105,-0.105766,0.106914
beta_loc_284_pop_0,0.000234,0.000136,-0.106944,0.106318
beta_loc_285_pop_0,-0.001203,-0.000943,-0.113354,0.104573
beta_loc_286_pop_0,0.000220,0.000539,-0.105457,0.107064
beta_loc_287_pop_0,-0.000525,-0.000625,-0.108515,0.106307
beta_loc_288_pop_0,-0.000069,-0.000129,-0.105830,0.104776
beta_loc_289_pop_0,0.000565,-0.000436,-0.104911,0.111568
beta_loc_290_pop_0,-0.000136,-0.000441,-0.106448,0.105340
beta_loc_291_pop_0,-0.000796,-0.000733,-0.106025,0.105701
beta_loc_292_pop_0,-0.010067,-0.005394,-0.138012,0.086933
beta_loc_293_pop_0,0.000370,-0.000240,-0.105077,0.106820
beta_loc_294_pop_0,-0.000485,-0.000221,-0.104169,0.104351
beta_loc_295_pop_0,-0.000764,-0.000435,-0.108202,0.106011
beta_loc_296_pop_0,0.000340,0.000146,-0.105087,0.108503
beta_loc_297_pop_0,0.001233,-0.000032,-0.102018,0.111697
beta_loc_298_pop_0,0.000233,0.000498,-0.105078,0.105385
beta_loc_299_pop_0,0.000497,-0.000147,-0.105378,0.110589
beta_loc_300_pop_0,0.000177,0.000027,-0.110727,0.109194
beta_loc_301_pop_0,0.000002,-0.000137,-0.104001,0.103809
beta_loc_302_pop_0,-0.000754,-0.000185,-0.109192,0.103029
beta_loc_303_pop_0,-0.000893,-0.000152,-0.112783,0.105758
beta_loc_304_pop_0,-0.000744,-0.000217,-0.110166,0.104629
beta_loc_305_pop_0,0.000184,0.000100,-0.108684,0.104795
beta_loc_306_pop_0,-0.001297,-0.000737,-0.111360,0.100113
beta_loc_307_pop_0,0.000785,0.000912,-0.109318,0.104924
beta_loc_308_pop_0,0.003934,0.002481,-0.098186,0.116635
beta_loc_309_pop_0,0.000641,0.000845,-0.107276,0.108707
beta_loc_310_pop_0,-0.000139,0.000023,-0.107978,0.107996
beta_loc_311_pop_0,0.000007,0.000327,-0.110211,0.114278
beta_loc_312_pop_0,0.000428,0.000529,-0.105254,0.106802
beta_loc_313_pop_0,-0.005230,-0.002838,-0.117336,0.096839
beta_loc_314_pop_0,0.001144,0.000592,-0.106133,0.109234
beta_loc_315_pop_0,0.000140,0.000073,-0.105095,0.102458
beta_loc_316_pop_0,-0.000275,-0.000516,-0.106818,0.108929
beta_loc_317_pop_0,-0.000512,-0.000475,-0.108026,0.107262
beta_loc_318_pop_0,-0.000489,-0.000070,-0.110891,0.108754
beta_loc_319_pop_0,-0.000865,-0.000728,-0.108728,0.106200
beta_loc_320_pop_0,-0.000051,0.000962,-0.110863,0.107371
beta_loc_321_pop_0,0.000658,0.000462,-0.104443,0.107516
beta_loc_322_pop_0,0.000096,0.000384,-0.112244,0.104208
beta_loc_323_pop_0,-0.000356,-0.000575,-0.107154,0.106602
beta_loc_324_pop_0,0.000242,0.000125,-0.105028,0.108750
beta_loc_325_pop_0,-0.000494,-0.000344,-0.109952,0.103627
beta_loc_326_pop_0,0.000250,0.000320,-0.104763,0.104180
beta_loc_327_pop_0,0.001113,0.000545,-0.104246,0.109742
beta_loc_328_pop_0,0.000678,0.000163,-0.107200,0.109808
beta_loc_329_pop_0,-0.001080,-0.000473,-0.110172,0.104369
beta_loc_330_pop_0,-0.000018,-0.000151,-0.106815,0.106297
beta_loc_331_pop_0,-0.000023,-0.000094,-0.106725,0.108623
beta_loc_332_pop_0,0.000210,-0.000095,-0.102103,0.107511
beta_loc_333_pop_0,0.002000,0.001002,-0.100586,0.114552
beta_loc_334_pop_0,-0.001006,-0.001012,-0.108556,0.104783
beta_loc_335_pop_0,-0.001077,-0.000477,-0.111202,0.105042
beta_loc_336_pop_0,-0.000647,-0.000453,-0.106196,0.105412
beta_loc_337_pop_0,-0.000630,-0.000544,-0.107395,0.106254
beta_loc_338_pop_0,0.000620,0.000533,-0.103661,0.105999
beta_loc_339_pop_0,0.000570,0.000479,-0.106313,0.111360
beta_loc_340_pop_0,-0.000170,0.000190,-0.108811,0.107277
beta_loc_341_pop_0,0.000437,0.000565,-0.105533,0.103961
beta_loc_342_pop_0,0.000464,0.000087,-0.103682,0.110486
beta_loc_343_pop_0,0.000052,0.000005,-0.108223,0.111769
beta_loc_344_pop_0,0.000523,0.000916,-0.105063,0.105242
beta_loc_345_pop_0,-0.000073,0.000441,-0.106710,0.107278
beta_loc_346_pop_0,0.000436,0.000664,-0.107779,0.105464
beta_loc_347_pop_0,-0.000646,0.000472,-0.111709,0.103632
beta_loc_348_pop_0,-0.000358,-0.000092,-0.107155,0.110850
beta_loc_349_pop_0,-0.000268,-0.000264,-0.110953,0.110620
beta_loc_350_pop_0,-0.000676,-0.000240,-0.107527,0.104181
beta_loc_351_pop_0,0.001256,0.001106,-0.105965,0.107741
beta_loc_352_pop_0,0.001637,0.000733,-0.102124,0.114645
beta_loc_353_pop_0,-0.000138,-0.000386,-0.107578,0.106388
beta_loc_354_pop_0,-0.000303,-0.000431,-0.107235,0.107277
beta_loc_355_pop_0,-0.000615,-0.000158,-0.110542,0.104509
beta_loc_356_pop_0,-0.000095,-0.000233,-0.106705,0.106895
beta_loc_357_pop_0,0.001250,0.000730,-0.104966,0.108972
beta_loc_358_pop_0,-0.001731,-0.001289,-0.111723,0.105687
beta_loc_359_pop_0,-0.000318,0.000311,-0.111603,0.107012
beta_loc_360_pop_0,-0.000391,-0.000388,-0.107615,0.104722
beta_loc_361_pop_0,0.000503,-0.000134,-0.103592,0.108513
beta_loc_362_pop_0,0.000536,0.000123,-0.105408,0.111337
beta_loc_363_pop_0,0.000401,0.000117,-0.107465,0.111166
beta_loc_364_pop_0,-0.000726,0.000151,-0.111353,0.104594
beta_loc_365_pop_0,-0.000311,-0.000154,-0.106217,0.106071
beta_loc_366_pop_0,0.001076,0.000487,-0.108247,0.112750
beta_loc_367_pop_0,0.000927,0.000484,-0.102716,0.110730
beta_loc_368_pop_0,-0.000459,-0.000583,-0.110059,0.110755
beta_loc_369_pop_0,0.000795,0.000368,-0.109994,0.107579
beta_loc_370_pop_0,-0.000023,-0.000019,-0.104464,0.103607
beta_loc_371_pop_0,0.000415,0.000884,-0.108237,0.104769
beta_loc_372_pop_0,0.000077,-0.000253,-0.105955,0.108068
beta_loc_373_pop_0,-0.000874,-0.000591,-0.106802,0.104547
beta_loc_374_pop_0,0.000453,0.000018,-0.105294,0.105184
beta_loc_375_pop_0,-0.000368,-0.000321,-0.106590,0.106687
beta_loc_376_pop_0,0.000005,0.000322,-0.109591,0.107058
beta_loc_377_pop_0,0.000701,0.000112,-0.103113,0.109879
beta_loc_378_pop_0,0.000206,0.000398,-0.108252,0.107973
beta_loc_379_pop_0,0.000817,0.001198,-0.105560,0.104670
beta_loc_380_pop_0,0.002024,0.001157,-0.103041,0.110193
beta_loc_381_pop_0,-0.000263,0.000298,-0.108344,0.105297
beta_loc_382_pop_0,0.001138,0.000377,-0.104452,0.111035
beta_loc_383_pop_0,-0.000759,-0.000516,-0.109458,0.102089
beta_loc_384_pop_0,-0.000364,-0.000493,-0.106624,0.104184
beta_loc_385_pop_0,-0.000478,-0.000101,-0.106068,0.103945
beta_loc_386_pop_0,-0.000092,0.000375,-0.107891,0.108474
beta_loc_387_pop_0,0.000279,0.000456,-0.106888,0.108036
beta_loc_388_pop_0,-0.001555,-0.000751,-0.109436,0.103226
beta_loc_389_pop_0,-0.000599,-0.000419,-0.108754,0.106962
beta_loc_390_pop_0,0.000407,0.000618,-0.103330,0.106587
beta_loc_391_pop_0,-0.000172,-0.000477,-0.106617,0.108778
beta_loc_392_pop_0,-0.001264,-0.001051,-0.108204,0.104255
beta_loc_393_pop_0,0.000051,-0.000288,-0.105101,0.107763
beta_loc_394_pop_0,-0.000881,-0.000466,-0.105629,0.106134
beta_loc_395_pop_0,-0.000431,-0.000272,-0.106737,0.104388
beta_loc_396_pop_0,0.000540,0.000531,-0.105373,0.108901
